#,Name,ClipType,Media In,Media Out,Media Duration,Away Team,NHL Period,Player Participation,GameClockIn,Home Team,ScoutedPlayer,NonScoutedPlayer,Shot Location,Strength,Chance?,Successful?,PKZC Origin,OddManRush,Shot Type,Media Offset,Source Clip Name,Penalty,Penalty Call,Source Index,Play ID,TagAndDistribute00,TagAndDistribute01,TagAndDistribute02,TagAndDistribute03,TagAndDistribute04,TagAndDistribute05,TagAndDistribute06,TagAndDistribute07,TagAndDistribute08,TagAndDistribute09,TagAndDistribute10,TagAndDistribute11,TagAndDistribute12,TagAndDistribute13,TagAndDistribute14,TagAndDistribute15,TagAndDistribute16,TagAndDistribute17,TagAndDistribute18,TagAndDistribute19,Unique Instance ID,cBlank,cBreakouts,cClockSort,cCorsiFor,cCWins,cDumps,cEntryWins,cFOWins,cGameClockSort,cGoals,cPlays,cPossessions,cSaves,cSOGs,cStrength,cWWins,cZoneClearDZ,cZoneClearEntry,cZoneClearFaceOff,cZoneClears,GameId,Appert,Comments ,Comments 4,Comments 5,Comments 6,Comments 7,Comments 8,Comments 9,Graham,Graham Comments,Jewell,Jewell Comments,Lysyj,Player Comments,Red Comments,Smith,Vines,Weber,NHL Away Team,NHL Challenge Initiated By,NHL Challenge IsGoalOverturned,NHL Challenge Reason,NHL Challenge Team,NHL Clock Seconds,NHL Clock Time,NHL Corsi,NHL Emergency Goaltender,NHL Emergency Goaltender Team,NHL Event Distance,NHL Event Side of Ice,NHL Event Strength,NHL Event Type,NHL Event X,NHL Event Y,NHL Event Zone,NHL Faceoff For Shot,NHL Faceoff Loser,NHL Faceoff Losing Team,NHL Faceoff Result,NHL Faceoff Winner,NHL Faceoff Winning Team,NHL Fenwick,NHL Game Code,NHL Game Date,NHL Goal Assist1,NHL Goal Assist2,NHL Goal Scorer,NHL Goalie Scored Against,NHL GoalZone,NHL Home Team,NHL IsAwarded,NHL IsEmptyNet,NHL IsExtraAttacker,NHL IsPenaltyShot,NHL IsShootout,NHL Penalty Duration,NHL Penalty Served By,NHL Penalty Type,NHL Poss Percent Against,NHL Poss Percent For,NHL Primary Team,NHL Primary Team Player,NHL Primary Team Player Hand,NHL Score Differential,NHL Season,NHL Secondary Team,NHL Secondary Team Player,NHL Secondary Team Player Hand,NHL Shift Duration,NHL Shift End,NHL Shift Seconds,NHL Shift Start,NHL Shot Creates Rebound,NHL Shot Miss Creates Shot,NHL Shot Off Faceoff,NHL Shot Off Miss,NHL Shot Off Rebound,NHL Shot Reason,NHL Shot Scoring Weight,NHL Shot Type,NHL Shots Against,NHL Shots For,NHL Shots Total,NHL SNB Against,NHL SNB For,NHL SNB Total,NHL Stop Primary,NHL Stop Secondary,NHL Zone Finish,NHL Zone Start,Player Participation Defense,Player Participation Offense,Away Team Name,Breakout,Chance Type,Defense Team Abrv,Defense Team Name,Defense Team Org,DefensiveTeam,Entry,Entry Origin,Event 1,Event 2,Event 3,Game Date,GameClockDuration,GameClockEnd,GameClockInSecs,GameClockOut,GameClockOutSecs,GameClockStart,GoodTeach,Home Team Name,HomePlayerPresence,ImportClipType,Location,Meeting?,MemberOfTeam,NHLDescription,NonScoutedScore,Offense Team Abrv,Offense Team Name,Offense Team Org,OffensiveTeam,Period,Play Number,Player ,Player Minutes Defensive,Player Minutes Offensive,Player Touches,Player1,Player2,Player3,Player4,Player5,PlayerID,PlayID,Practice Drill,Primary Assist,Quarter,Result,ScoutedScore,ScoutedScoreDif,Secondary Assist,Shift,ShiftEndTime,ShiftStartTime,System,Team,TOIPlayerName,Type,VisitorPlayerPresence,Win/Loss,X Result,Zone,CWL,DZTime,FaceOffLRC,Forehand Backhand,InZoneOrigin,MPM 1a,MPM -1a,MPM 1b,MPM -1b,MPM 1c,MPM -1c,MPM 1d,MPM -1d,MPM 3,MPM -3,MPM 5,MPM -5,NZTime,OZTime,PKZCNext,PKZCNextTime,WWL,GameDate_TOI,OpponentTeam_TOI,Period_TOI,PlayerName_TOI,ScoutedTeam_TOI,ScoutedWinger,ShiftDuration_TOI,ShiftDurationSec_TOI,ShiftEnd_TOI,ShiftEndSec_TOI,ShiftStart_TOI,ShiftStartSec_TOI,Strength_TOI
1,"GM26 2019-02-01 Colgate at RPI P1, Game 001",Game,00:01:06.02,00:35:31.53,00:34:25.8490000,,1,,,,,,,Even,,,,,,00:01:06.0330000,GM26 2019-02-01 Colgate at RPI P1.mp4,,,,6634656a-0120-40aa-8fdf-f21b00a43ea3,,,,,,,,,,,,,,,,,,,,,dd3d50ff-9a34-4dfe-88a1-9328794dc802,,0,0,0,0,0,0,0,0,0,1,0,0,0,EVEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6634656A-0120-40AA-8FDF-F21B00A43EA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"GM26 2019-02-01 Colgate at RPI P1, SyncPoint 001",SyncPoint,00:01:07.40,00:01:09.40,00:00:02.0020000,,1,,20:00,,,,,Even,,,,,,00:01:07.6680000,GM26 2019-02-01 Colgate at RPI P1.mp4,,,,5236adea-e1fb-44cd-90e6-8e779bc5919e,,,,,,,,,,,,,,,,,,,,,2c7392f8-2370-42f5-81d9-9647478f5e39,,0,1200,0,0,0,0,0,1200,0,1,0,0,0,EVEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2019 12:00:00 AM,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5236ADEA-E1FB-44CD-90E6-8E779BC5919E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"GM26 2019-02-01 Colgate at RPI P1, SyncPoint 002",SyncPoint,00:01:07.44,00:01:09.44,00:00:02.0020000,,1,,20:00,,,,,Even,,,,,,00:01:07.7340000,GM26 2019-02-01 Colgate at RPI P1.mp4,,,,0719ef7d-a586-4985-ac90-511b79b37e32,,,,,,,,,,,,,,,,,,,,,f9bbfe20-3c26-4360-be5c-8528768b0a3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2019 12:00:00 AM,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"GM26 2019-02-01 Colgate at RPI P1, Jewell 001",Jewell,00:01:07.50,00:01:19.50,00:00:11.9950000,,1,,,,,,,,,,,,,00:01:07.8350000,GM26 2019-02-01 Colgate at RPI P1.mp4,,,,c979fef5-311f-4faf-be49-1d4abc804e07,,,,,,,,,,,,,,,,,,,,,ed4de91c-07d1-4a43-8df0-9e37a84aa7f2,,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,,,,,,,,,,,,NZFC; TEACH 17 F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C979FEF5-311F-4FAF-BE49-1D4ABC804E07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"GM26 2019-02-01 Colgate at RPI P1, Faceoff 001",Faceoff,00:01:08.01,00:01:20.60,00:00:12.9800000,,1,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,,17 Burgess,21 Penner,,Even,,,,,,00:01:08.0180000,GM26 2019-02-01 Colgate at RPI P1.mp4,,,,cee38687-af9f-4775-993f-d0a539c56d3c,,,,,,,,,,,,,,,,,,,,,413db3e0-369a-4fc6-aa74-cd5830900a99,,0,1200,0,0,0,0,0,1200,0,1,0,0,0,EVEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,NZFO; L teach 17 hold middle as C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",,,,,,,,,,,,,2/1/2019 12:00:00 AM,,,1200,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,CEE38687-AF9F-4775-993F-D0A539C56D3C,,,,,0,0,,,,,,,,,,loss,,nz,,,center,backhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"GM26 2019-02-01 Colgate at RPI P1, NZ Forecheck 001",NZ Forecheck,00:01:09.31,00:01:22.30,00:00:12.9800000,,1,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",19:56,,,,,Even,,,,,,00:01:09.5200000,GM26 2019-02-01 Colgate at RPI P1.mp4,,,,18d5c4c2-1871-4f45-bdbc-4efcaf42f927,,,,,,,,,,,,,,,,,,,,,8a9726c6-53d9-47e9-9746-a20f27d58b3d,,0,1196,0,0,0,0,0,1196,0,1,0,0,0,EVEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",,,,,,,,,,,,,2/1/2019 12:00:00 AM,13,,1196,19:49,1189,,,,,,,,,,0,,,,,,,,,,,,,,,,,18D5C4C2-1871-4F45-BDBC-4EFCAF42F927,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"GM26 2019-02-01 Colgate at RPI P1, Shift_TOI 001",Shift_TOI,00:01:09.41,00:08:39.59,00:07:30.3000000,,1,31 Savory,20:00,,31 Savory,,,Even,,,,,,00:01:09.6860000,GM26 2019-02-01 Colgate at RPI P1.mp4,,,,4ea5f4c1-740a-44f8-a63c-3e26342fb2c1,,,,,,,,,,,,,,,,,,,,,247c0a9e-4920-4b0b-9daf-37293a65df12,,0,1200,0,0,0,0,0,1200,0,1,0,0,0,EVEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,31 Savory,,,,,,,,,,,,,2/1/2019 12:00:00 AM,,,1200,14:57,897,,,,,,,,,,0,,,,,,,,,,,,,,,,,4EA5F4C1-740A-44F8-A63C-3E26342FB2C1,,,,,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,303,0,,,,,,,,,,,,,,,,
8,"GM26 2019-02-01 Colgate at RPI P1, Shift_TOI 002",Shift_TOI,00:01:09.44,00:01:56.34,00:00:46.8300000,,1,"08 Gornall, 21 Wiffen, 23 Johnson, 24 Reilly, 26 Marrello, 31 Savory",20:00,,24 Reilly,,,Even,,,,,,00:01:09.7360000,GM26 2019-02-01 Colgate at RPI P1.mp4,,,,cac97cce-4773-4244-861b-cb768fd15729,,,,,,,,,,,,,,,,,,,,,94bd6eee-540e-40b7-b924-0b54e4fb97a0,,0,1200,0,0,0,0,0,1200,0,1,0,0,0,EVEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,"08 Gornall, 21 Wiffen, 23 Johnson, 24 Reilly, 26 Marrello, 31 Savory",,,,,,,,,,,,,2/1/2019 12:00:00 AM,,,1200,19:13,1153,,,,,,,,,,0,,,,,,,,,,,,,,,,,CAC97CCE-4773-4244-861B-CB768FD15729,,,,,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,47,0,,,,,,,,,,,,,,,,
9,"GM26 2019-02-01 Colgate at RPI P1, Shift_TOI 003",Shift_TOI,00:01:09.44,00:01:56.34,00:00:46.8300000,,1,"08 Gornall, 21 Wiffen, 23 Johnson, 24 Reilly, 26 Marrello, 31 Savory",20:00,,23 Johnson,,,Even,,,,,,00:01:09.7360000,GM26 2019-02-01 Colgate at RPI P1.mp4,,,,8b6b9e3e-2b59-43a6-b420-38463ce891e0,,,,,,,,,,,,,,,,,,,,,d6c660c7-1803-4807-8325-6f0de13ca4a1,,0,1200,0,0,0,0,0,1200,0,1,0,0,0,EVEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,"08 Gornall, 21 Wiffen, 23 Johnson, 24 Reilly, 26 Marrello, 31 Savory",,,,,,,,,,,,,2/1/2019 12:00:00 AM,,,1200,19:13,1153,,,,,,,,,,0,,,,,,,,,,,,,,,,,8B6B9E3E-2B59-43A6-B420-38463CE891E0,,,,,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,47,0,,,,,,,,,,,,,,,,
10,"GM26 2019-02-01 Colgate at RPI P1, TeamShift 001",TeamShift,00:01:09.56,00:01:46.08,00:00:36.2030000,,1,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,,,,,Even,,,,,,00:01:09.9370000,GM26 2019-02-01 Colgate at RPI P1.mp4,,,,f26f9923-a884-49ac-bc56-fedce0c47717,,,,,,,,,,,,,,,,,,,,,7c490548-dc37-45f8-9f45-b2d9f37a333d,,0,1200,0,0,0,0,0,1200,0,1,0,0,0,EVEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",,,,,,,,,,,,,2/1/2019 12:00:00 AM,,,1200,19:24,1164,,,,,,,,,,0,,,,,,,,,,,,,,,,,F26F9923-A884-49AC-BC56-FEDCE0C47717,,,,,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,36,0,,,,,,,,,,,,,,,,
