#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,GameClockIn,Strength,Smith,Weber,Jewell,Lysyj,Red Comments,Jewell Comments
1,"GM26 2019-02-01 Colgate at RPI P2, Game 001",Game,00:00:44.47,00:30:40.59,00:29:56.2130000,2,,Even,,,,,,
2,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 001",Shift_TOI,00:00:46.46,00:10:58.46,00:10:12.0120000,2,20:00,Even,,,,,,
3,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 002",Shift_TOI,00:00:47.15,00:01:23.51,00:00:36.6030000,2,20:00,Even,,,,,,
4,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 003",Shift_TOI,00:00:47.15,00:01:23.51,00:00:36.6030000,2,20:00,Even,,,,,,
5,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 004",Shift_TOI,00:00:47.15,00:01:23.51,00:00:36.6030000,2,20:00,Even,,,,,,
6,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 001",TeamShift,00:00:47.30,00:01:05.14,00:00:17.7340000,2,20:00,Even,,,,,,
7,"GM26 2019-02-01 Colgate at RPI P2, SyncPoint 001",SyncPoint,00:00:48.05,00:00:50.05,00:00:02.0020000,2,20:00,Even,,,,,,
8,"GM26 2019-02-01 Colgate at RPI P2, SyncPoint 002",SyncPoint,00:00:48.09,00:00:50.09,00:00:02.0020000,2,20:00,Even,,,,,,
9,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 005",Shift_TOI,00:00:48.16,00:01:29.19,00:00:41.0580000,2,20:00,Even,,,,,,
10,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 006",Shift_TOI,00:00:48.16,00:01:29.19,00:00:41.0580000,2,20:00,Even,,,,,,
11,"GM26 2019-02-01 Colgate at RPI P2, Faceoff 001",Faceoff,00:00:48.22,00:01:01.21,00:00:12.9800000,2,20:00,Even,,,,,,
12,"GM26 2019-02-01 Colgate at RPI P2, NZ Offense 001",NZ Offense,00:00:50.08,00:00:57.43,00:00:07.5910000,2,19:56,Even,,,,,,
