#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,Player Participation,GameClockIn,Strength,ScoutedPlayer,NonScoutedPlayer,Win/Loss,Chance?,Shot Location,Zone,FaceOffLRC,Entry Origin,Entry,Successful?,Breakout
1,"GM26 2019-02-01 Colgate at RPI P3, Game 001",Game,00:00:29.11,00:45:02.27,00:44:33.2730000,3,,,Even,,,,,,,,,,,
2,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 001",Shift_TOI,00:00:31.10,00:28:56.02,00:28:24.8720000,3,"08 Gornall, 21 Wiffen, 23 Johnson, 24 Reilly, 26 Marrello, 31 Savory",20:00,5 v 4,31 Savory,,,,,,,,,,
3,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 002",Shift_TOI,00:00:32.21,00:01:08.15,00:00:35.9030000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,Even,17 Burgess,,,,,,,,,,
4,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 003",Shift_TOI,00:00:32.21,00:01:08.15,00:00:35.9030000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,Even,12 Zieky,,,,,,,,,,
5,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 004",Shift_TOI,00:00:32.21,00:01:08.15,00:00:35.9030000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,Even,09 Moore,,,,,,,,,,
6,"GM26 2019-02-01 Colgate at RPI P3, TeamShift 001",TeamShift,00:00:32.39,00:00:48.26,00:00:15.7820000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",20:00,Even,,,,,,,,,,,
7,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 005",Shift_TOI,00:00:33.04,00:02:05.42,00:01:32.6430000,3,"11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 31 Savory, 39 Lacka",20:00,Even,24 Reilly,,,,,,,,,,
8,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 006",Shift_TOI,00:00:33.04,00:02:05.42,00:01:32.6430000,3,"11 Leppanen, 19 Linden, 23 Johnson, 24 Reilly, 31 Savory, 39 Lacka",20:00,Even,23 Johnson,,,,,,,,,,
9,"GM26 2019-02-01 Colgate at RPI P3, SyncPoint 001",SyncPoint,00:00:33.05,00:00:35.05,00:00:02.0020000,3,,20:00,Even,,,,,,,,,,,
10,"GM26 2019-02-01 Colgate at RPI P3, SyncPoint 002",SyncPoint,00:00:33.09,00:00:35.09,00:00:02.0020000,3,,20:00,Even,,,,,,,,,,,
