#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,Player Participation,GameClockIn,Strength,ScoutedPlayer,NonScoutedPlayer,Win/Loss,Chance?,Shot Location,Zone,FaceOffLRC,Entry Origin,Entry,Successful?,Breakout
1,"GM30 2019-02-16 Quinnipiac at RPI P3, Game 001",Game,00:00:46.20,00:38:56.16,00:38:09.9400000,3,,,Even,,,,,,,,,,,
2,"GM30 2019-02-16 Quinnipiac at RPI P3, Penalty Kill 001",Penalty Kill,00:00:46.20,00:02:02.09,00:01:15.8260000,3,"03 Samec, 04 Grant, 06 Ferner, 08 Gornall, 19 Linden, 21 Wiffen, 24 Reilly, 26 Marrello, 31 Savory",,4 v 5,,,,,,,,,,,
3,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 001",Shift_TOI,00:00:46.35,00:02:00.19,00:01:13.7400000,3,"03 Samec, 04 Grant, 19 Linden, 26 Marrello, 31 Savory",20:00,4 v 5,31 Savory,,,,,,,,,,
4,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 002",Shift_TOI,00:00:46.47,00:01:39.22,00:00:52.5860000,3,"08 Gornall, 21 Wiffen, 31 Savory",20:00,4 v 5,21 Wiffen,,,,,,,,,,
5,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Entry 001",Opponent Entry,00:00:46.52,00:00:56.50,00:00:09.9770000,3,"06 Ferner, 08 Gornall, 21 Wiffen, 24 Reilly, 31 Savory",19:57,4 v 5,,,,,,,,nz,possession,yes,
6,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 003",Shift_TOI,00:00:46.53,00:01:40.25,00:00:53.5370000,3,"08 Gornall, 31 Savory",20:00,4 v 5,08 Gornall,,,,,,,,,,
7,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 004",Shift_TOI,00:00:46.57,00:01:35.51,00:00:48.8990000,3,"08 Gornall, 21 Wiffen, 24 Reilly, 31 Savory",20:00,4 v 5,24 Reilly,,,,,,,,,,
8,"GM30 2019-02-16 Quinnipiac at RPI P3, Shift_TOI 005",Shift_TOI,00:00:46.57,00:01:35.12,00:00:48.2480000,3,"06 Ferner, 08 Gornall, 21 Wiffen, 24 Reilly, 31 Savory",20:00,4 v 5,06 Ferner,,,,,,,,,,
9,"GM30 2019-02-16 Quinnipiac at RPI P3, TeamShift 001",TeamShift,00:00:47.20,00:01:18.28,00:00:31.1310000,3,"06 Ferner, 08 Gornall, 21 Wiffen, 24 Reilly, 31 Savory",20:00,4 v 5,,,,,,,,,,,
10,"GM30 2019-02-16 Quinnipiac at RPI P3, SyncPoint 001",SyncPoint,00:00:47.55,00:00:49.55,00:00:02.0020000,3,,20:00,4 v 5,,,,,,,,,,,
11,"GM30 2019-02-16 Quinnipiac at RPI P3, Faceoff 001",Faceoff,00:00:48.29,00:01:01.28,00:00:12.9800000,3,"06 Ferner, 08 Gornall, 21 Wiffen, 24 Reilly, 31 Savory",20:00,4 v 5,08 Gornall,29 Tufto,loss,,,nz,center,,,,
12,"GM30 2019-02-16 Quinnipiac at RPI P3, Defensive Zone 001",Defensive Zone,00:00:51.48,00:01:23.41,00:00:31.8820000,3,"06 Ferner, 08 Gornall, 21 Wiffen, 24 Reilly, 31 Savory",,4 v 5,,,,,,,,,,,
13,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Possession 001",Opponent Possession,00:00:52.16,00:01:07.27,00:00:15.1820000,3,,19:56,4 v 5,,,,,,,,,,,
