Faceoff,,,,Shot for,,
recorded,real,lag,,recorded,real,lag
04:18.1,04:17.0,00:01.1,,07:01.3,07:00.0,00:01.3
09:12.6,09:12.0,00:00.6,,12:28.2,12:27.0,00:01.2
10:37.2,10:36.0,00:01.2,,25:22.4,25:21.0,00:01.4
13:04.5,13:04.0,00:00.5,,34:57.3,34:56.0,00:01.3
25:54.1,25:53.0,00:01.1,,08:58.1,08:55.0,00:03.1
29:08.3,29:07.0,00:01.3,,23:34.3,23:33.0,00:01.3
00:49.2,00:48.0,00:01.2,,28:05.4,28:04.0,00:01.4
25:07.4,25:07.0,00:00.4,,33:39.0,33:38.0,00:01.0
30:36.3,30:35.0,00:01.3,,40:40.5,40:40.0,00:00.5
05:14.1,05:13.0,00:01.1,,45:01.3,45:00.0,00:01.3
