Faceoff,,,,Shot for,,
recorded,real,lag,,recorded,real,lag
01:08.5,01:07.0,00:01.5,,08:55.2,08:54.0,00:01.2
11:18.1,11:17.0,00:01.1,,17:23.2,17:21.0,00:02.2
14:29.4,14:28.0,00:01.4,,30:48.1,30:46.0,00:02.1
18:59.1,18:58.0,00:01.1,,02:30.4,02:30.0,00:00.4
22:31.4,22:30.0,00:01.4,,04:36.4,04:35.0,00:01.4
29:32.4,29:32.0,00:00.4,,08:42.3,08:41.0,00:01.3
14:37.5,14:37.0,00:00.5,,06:11.3,06:10.0,00:01.3
28:06.2,28:06.0,00:00.2,,09:36.5,09:36.0,00:00.5
35:01.3,35:01.0,00:00.3,,10:51.1,10:50.0,00:01.1
01:08.4,01:08.0,00:00.4,,13:20.4,13:19.0,00:01.4
