Faceoff,,,,Shot for,,
recorded,real,lag,,recorded,real,lag
13:14.2,13:13.0,00:01.2,,05:57.4,05:56.0,00:01.4
28:59.0,28:58.0,00:01.0,,09:11.3,09:09.0,00:02.3
31:52.1,31:51.0,00:01.1,,28:36.2,28:34.0,00:02.2
07:00.4,06:59.0,00:01.4,,09:13.0,09:12.0,00:01.0
10:04.5,10:04.0,00:00.5,,10:07.4,10:06.0,00:01.4
13:20.0,13:19.0,00:01.0,,13:43.5,13:42.0,00:01.5
18:15.2,18:15.0,00:00.2,,03:38.3,03:37.0,00:01.3
26:57.2,26:56.0,00:01.2,,08:26.5,08:25.0,00:01.5
00:57.4,00:57.0,00:00.4,,20:22.3,20:18.0,00:04.3
10:12.4,10:12.0,00:00.4,,27:46.2,27:45.0,00:01.2
