#,Name,ClipType,Strength,Zone,Media Duration,Media In,Media Out,NHL Period,Breakout,Chance?,Entry,Entry Origin,GameClockIn,Successful?,Win/Loss,FaceOffLRC,Shot Location,NonScoutedPlayer,ScoutedPlayer,Player Participation,Play ID,Unique Instance ID,cBlank,cBreakouts,cClockSort,cCorsiFor,cEntryWins,cFOWins,cGameClockSort,GameId,cGoals,PlayID,cPlays,cPossessions,cSaves,cSOGs,cStrength,cZoneClears,Away Team,Home Team,Play Number,Result,HomePlayerPresence,MemberOfTeam,NHLDescription,Penalty,Period,Player ,PlayerID,Shift,ShiftEndTime,ShiftStartTime,Team,TOIPlayerName,VisitorPlayerPresence,Media Offset,Source Clip Name,Source Index,cCWins,cWWins,cDumps,cZoneClearDZ,cZoneClearEntry,cZoneClearFaceOff,Away Team Name,Graham,Jewell,Jewell Comments,Lysyj,Player Comments,Red Comments,Smith,Weber,Appert,Vines,Graham Comments,Comments ,Comments 4,Comments 5,Comments 6,Comments 7,Comments 8,Comments 9,Defense Team Abrv,Defense Team Name,Defense Team Org,DefensiveTeam,Event 1,Event 2,Event 3,GameClockEnd,GameClockStart,Game Date,Home Team Name,NHL Away Team,NHL Challenge Initiated By,NHL Challenge IsGoalOverturned,NHL Challenge Reason,NHL Challenge Team,NHL Clock Time,NHL Clock Seconds,NHL Corsi,NHL Emergency Goaltender,NHL Emergency Goaltender Team,NHL Event Distance,NHL Score Differential,NHL Event Side of Ice,NHL Event Strength,NHL Event Type,NHL Event X,NHL Event Y,NHL Event Zone,NHL Faceoff For Shot,NHL Faceoff Loser,NHL Faceoff Losing Team,NHL Faceoff Result,NHL Faceoff Winner,NHL Faceoff Winning Team,NHL Fenwick,NHL Game Code,NHL Game Date,NHL Goal Assist1,NHL Goal Assist2,NHL IsAwarded,NHL IsEmptyNet,NHL IsExtraAttacker,NHL Goalie Scored Against,NHL Goal Scorer,NHL GoalZone,NHL Home Team,NHL Penalty Type,NHL Penalty Duration,NHL Penalty Served By,NHL Poss Percent Against,NHL Poss Percent For,NHL Primary Team,NHL Primary Team Player,NHL Primary Team Player Hand,NHL Season,NHL Secondary Team,NHL Secondary Team Player,NHL Secondary Team Player Hand,NHL Shift Duration,NHL Shift Seconds,NHL Shift End,NHL Shift Start,NHL Shot Creates Rebound,NHL IsPenaltyShot,NHL IsShootout,NHL Shot Miss Creates Shot,NHL Shot Off Faceoff,NHL Shot Off Miss,NHL Shot Off Rebound,NHL Shot Reason,NHL Shots Against,NHL Shot Scoring Weight,NHL Shots For,NHL Shots Total,NHL Shot Type,NHL SNB Against,NHL SNB For,NHL SNB Total,NHL Stop Primary,NHL Stop Secondary,NHL Zone Finish,NHL Zone Start,Offense Team Abrv,Offense Team Name,Offense Team Org,OffensiveTeam,Player Minutes Defensive,Player Minutes Offensive,Player Touches,Quarter,X Result,Chance Type,GameClockDuration,GameClockInSecs,GameClockOut,GameClockOutSecs,GoodTeach,ImportClipType,Location,Meeting?,NonScoutedScore,OddManRush,Penalty Call,PKZCNextTime,Player1,Player2,Player3,Player4,Player5,Practice Drill,Primary Assist,ScoutedScore,ScoutedScoreDif,Secondary Assist,Shot Type,System,Type,CWL,DZTime,Forehand Backhand,InZoneOrigin,MPM 1a,MPM -1a,MPM 1b,MPM -1b,MPM 1c,MPM -1c,MPM 1d,MPM 3,MPM -3,MPM 5,MPM -5,MPM -1d,NZTime,OZTime,PKZCNext,PKZC Origin,WWL,TagAndDistribute00,TagAndDistribute01,TagAndDistribute02,TagAndDistribute03,TagAndDistribute04,TagAndDistribute05,TagAndDistribute06,TagAndDistribute07,TagAndDistribute08,TagAndDistribute09,TagAndDistribute10,TagAndDistribute11,TagAndDistribute12,TagAndDistribute13,TagAndDistribute14,TagAndDistribute15,TagAndDistribute16,TagAndDistribute17,TagAndDistribute18,TagAndDistribute19,GameDate_TOI,OpponentTeam_TOI,Period_TOI,PlayerName_TOI,ScoutedTeam_TOI,ScoutedWinger,ShiftDuration_TOI,ShiftDurationSec_TOI,ShiftEnd_TOI,ShiftEndSec_TOI,ShiftStart_TOI,ShiftStartSec_TOI,Strength_TOI,Player Participation Defense,Player Participation Offense
1,"GM34 2019-03-02 Dartmouth at RPI P3, Game 001",Game,Even,,00:32:18.3880000,00:01:05.35,00:33:23.58,3,,,,,,,,,,,,,46fde288-7e6f-4fdb-b8bd-48bb0d105fe0,2dac0034-21e0-44a5-830a-0a9323651f88,,0,0,0,0,0,0,,0,46FDE288-7E6F-4FDB-B8BD-48BB0D105FE0,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:05.5820000,GM34 2019-03-02 Dartmouth at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"GM34 2019-03-02 Dartmouth at RPI P3, Penalty Kill 001",Penalty Kill,4 v 5,,00:00:37.0870000,00:01:05.35,00:01:42.40,3,,,,,,,,,,,,"04 Grant, 06 Ferner, 08 Gornall, 19 Linden, 21 Wiffen, 31 Savory",02fcdee9-4ddd-438f-a0ae-aa1f3a73a289,1e3dc698-67e5-46a3-bb89-cd6973168dbe,,0,0,0,0,0,0,,0,02FCDEE9-4DDD-438F-A0AE-AA1F3A73A289,1,0,0,0,PK,0,,,,,,,,,,,,,,,,,,00:01:05.5820000,GM34 2019-03-02 Dartmouth at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,19:29,1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 06 Ferner, 08 Gornall, 19 Linden, 21 Wiffen, 31 Savory"
3,"GM34 2019-03-02 Dartmouth at RPI P3, Shift_TOI 001",Shift_TOI,4 v 5,,00:00:30.0130000,00:01:07.00,00:01:37.01,3,,,,,20:00,,,,,,06 Ferner,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory",8a22b903-e9e6-4250-85b0-ff479af67f16,d2325d53-6664-4465-9534-c5a3d9cafdf0,,0,1200,0,0,0,1200,,0,8A22B903-E9E6-4250-85B0-FF479AF67F16,1,0,0,0,PK,0,,,,,,,,,,,,,,,,,,00:01:07,GM34 2019-03-02 Dartmouth at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:30,1170,,,,,3,,,,,,,,,,,1,-2,,,,,,0,,,,,,,,,,,,,,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory"
4,"GM34 2019-03-02 Dartmouth at RPI P3, Shift_TOI 002",Shift_TOI,4 v 5,,00:00:30.0130000,00:01:07.00,00:01:37.01,3,,,,,20:00,,,,,,21 Wiffen,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory",81a7a503-2a1e-4a62-94d5-baba1ed68ee5,9f83d4d1-9e75-4140-b7e1-8ccd990cfb55,,0,1200,0,0,0,1200,,0,81A7A503-2A1E-4A62-94D5-BABA1ED68EE5,1,0,0,0,PK,0,,,,,,,,,,,,,,,,,,00:01:07,GM34 2019-03-02 Dartmouth at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:30,1170,,,,,3,,,,,,,,,,,1,-2,,,,,,0,,,,,,,,,,,,,,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory"
5,"GM34 2019-03-02 Dartmouth at RPI P3, Shift_TOI 003",Shift_TOI,4 v 5,,00:00:30.0130000,00:01:07.00,00:01:37.01,3,,,,,20:00,,,,,,08 Gornall,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory",e429dc11-ebb9-4ffa-bfa4-59e6a3533561,96c9674b-67bb-4051-b033-68de63124744,,0,1200,0,0,0,1200,,0,E429DC11-EBB9-4FFA-BFA4-59E6A3533561,1,0,0,0,PK,0,,,,,,,,,,,,,,,,,,00:01:07,GM34 2019-03-02 Dartmouth at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:30,1170,,,,,3,,,,,,,,,,,1,-2,,,,,,0,,,,,,,,,,,,,,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory"
6,"GM34 2019-03-02 Dartmouth at RPI P3, Shift_TOI 004",Shift_TOI,4 v 5,,00:00:30.0130000,00:01:07.00,00:01:37.01,3,,,,,20:00,,,,,,04 Grant,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory",2f89246b-1dcc-4829-a98b-e82354956d25,f9619b36-e459-41db-a417-83e90353f318,,0,1200,0,0,0,1200,,0,2F89246B-1DCC-4829-A98B-E82354956D25,1,0,0,0,PK,0,,,,,,,,,,,,,,,,,,00:01:07,GM34 2019-03-02 Dartmouth at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:30,1170,,,,,3,,,,,,,,,,,1,-2,,,,,,0,,,,,,,,,,,,,,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory"
7,"GM34 2019-03-02 Dartmouth at RPI P3, Shift_TOI 005",Shift_TOI,4 v 5,,00:00:30.0130000,00:01:07.00,00:01:37.01,3,,,,,20:00,,,,,,31 Savory,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory",a4f149de-db63-4179-bfba-4dafcbb946ae,d0e3de2d-f495-4e44-9c76-59659e8d391c,,0,1200,0,0,0,1200,,0,A4F149DE-DB63-4179-BFBA-4DAFCBB946AE,1,0,0,0,PK,0,,,,,,,,,,,,,,,,,,00:01:07,GM34 2019-03-02 Dartmouth at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:30,1170,,,,,3,,,,,,,,,,,1,-2,,,,,,0,,,,,,,,,,,,,,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory"
8,"GM34 2019-03-02 Dartmouth at RPI P3, TeamShift 001",TeamShift,4 v 5,,00:00:29.9300000,00:01:07.08,00:01:37.04,3,,,,,20:00,,,,,,,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory",fbe1412a-f273-418d-963f-91949afe10eb,6b932e6e-b790-478a-ba1f-78a5982e01ce,,0,1200,0,0,0,1200,,0,FBE1412A-F273-418D-963F-91949AFE10EB,1,0,0,0,PK,0,,,,,,,,,,,,,,,,,,00:01:07.1340000,GM34 2019-03-02 Dartmouth at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:30,1170,,,,,3,,,,,,,,,,,1,-2,,,,,,0,,,,,,,,,,,,,,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory"
9,"GM34 2019-03-02 Dartmouth at RPI P3, SyncPoint 001",SyncPoint,Even,,00:00:02.0020000,00:01:07.25,00:01:09.25,3,,,,,20:00,,,,,,,,98f14525-5bf8-4f74-b10e-db749a1a492a,0fa0a680-6883-4e5d-8abc-85277b74e1ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:01:07.4170000,GM34 2019-03-02 Dartmouth at RPI P3.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"GM34 2019-03-02 Dartmouth at RPI P3, Faceoff 001",Faceoff,4 v 5,nz,00:00:12.9800000,00:01:07.44,00:01:20.43,3,,,,,20:00,,loss,center,,28 Graber,21 Wiffen,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory",29785a6b-82ad-4f47-865f-9b8fce7efd24,ec570310-b225-4094-ac89-9362952dce3b,,0,1200,0,0,0,1200,,0,29785A6B-82AD-4F47-865F-9B8FCE7EFD24,1,0,0,0,PK,0,,,,,,,,,,,,,,,,,,00:01:07.7340000,GM34 2019-03-02 Dartmouth at RPI P3.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/2/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,3,,,,,,,,,,,1,-2,,,,,,,backhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04 Grant, 06 Ferner, 08 Gornall, 21 Wiffen, 31 Savory"
