#,Name,ClipType,Strength,Zone,Media Duration,Media In,Media Out,NHL Period,Breakout,Chance?,Entry,Entry Origin,GameClockIn,Successful?,Win/Loss,FaceOffLRC,Shot Location,NonScoutedPlayer,ScoutedPlayer,Player Participation,Play ID,Unique Instance ID,cBlank,cBreakouts,cClockSort,cCorsiFor,cEntryWins,cFOWins,cGameClockSort,GameId,cGoals,PlayID,cPlays,cPossessions,cSaves,cSOGs,cStrength,cZoneClears,Away Team,Home Team,Play Number,Result,HomePlayerPresence,MemberOfTeam,NHLDescription,Penalty,Period,Player ,PlayerID,Shift,ShiftEndTime,ShiftStartTime,Team,TOIPlayerName,VisitorPlayerPresence,Media Offset,Source Clip Name,Source Index,cCWins,cWWins,cDumps,cZoneClearDZ,cZoneClearEntry,cZoneClearFaceOff,Away Team Name,Graham,Jewell,Jewell Comments,Lysyj,Player Comments,Red Comments,Smith,Weber,Appert,Vines,Graham Comments,Comments ,Comments 4,Comments 5,Comments 6,Comments 7,Comments 8,Comments 9,Defense Team Abrv,Defense Team Name,Defense Team Org,DefensiveTeam,Event 1,Event 2,Event 3,GameClockEnd,GameClockStart,Game Date,Home Team Name,NHL Away Team,NHL Challenge Initiated By,NHL Challenge IsGoalOverturned,NHL Challenge Reason,NHL Challenge Team,NHL Clock Time,NHL Clock Seconds,NHL Corsi,NHL Emergency Goaltender,NHL Emergency Goaltender Team,NHL Event Distance,NHL Score Differential,NHL Event Side of Ice,NHL Event Strength,NHL Event Type,NHL Event X,NHL Event Y,NHL Event Zone,NHL Faceoff For Shot,NHL Faceoff Loser,NHL Faceoff Losing Team,NHL Faceoff Result,NHL Faceoff Winner,NHL Faceoff Winning Team,NHL Fenwick,NHL Game Code,NHL Game Date,NHL Goal Assist1,NHL Goal Assist2,NHL IsAwarded,NHL IsEmptyNet,NHL IsExtraAttacker,NHL Goalie Scored Against,NHL Goal Scorer,NHL GoalZone,NHL Home Team,NHL Penalty Type,NHL Penalty Duration,NHL Penalty Served By,NHL Poss Percent Against,NHL Poss Percent For,NHL Primary Team,NHL Primary Team Player,NHL Primary Team Player Hand,NHL Season,NHL Secondary Team,NHL Secondary Team Player,NHL Secondary Team Player Hand,NHL Shift Duration,NHL Shift Seconds,NHL Shift End,NHL Shift Start,NHL Shot Creates Rebound,NHL IsPenaltyShot,NHL IsShootout,NHL Shot Miss Creates Shot,NHL Shot Off Faceoff,NHL Shot Off Miss,NHL Shot Off Rebound,NHL Shot Reason,NHL Shots Against,NHL Shot Scoring Weight,NHL Shots For,NHL Shots Total,NHL Shot Type,NHL SNB Against,NHL SNB For,NHL SNB Total,NHL Stop Primary,NHL Stop Secondary,NHL Zone Finish,NHL Zone Start,Offense Team Abrv,Offense Team Name,Offense Team Org,OffensiveTeam,Player Minutes Defensive,Player Minutes Offensive,Player Touches,Quarter,X Result,Chance Type,GameClockDuration,GameClockInSecs,GameClockOut,GameClockOutSecs,GoodTeach,ImportClipType,Location,Meeting?,NonScoutedScore,OddManRush,Penalty Call,PKZCNextTime,Player1,Player2,Player3,Player4,Player5,Practice Drill,Primary Assist,ScoutedScore,ScoutedScoreDif,Secondary Assist,Shot Type,System,Type,CWL,DZTime,Forehand Backhand,InZoneOrigin,MPM 1a,MPM -1a,MPM 1b,MPM -1b,MPM 1c,MPM -1c,MPM 1d,MPM 3,MPM -3,MPM 5,MPM -5,MPM -1d,NZTime,OZTime,PKZCNext,PKZC Origin,WWL,TagAndDistribute00,TagAndDistribute01,TagAndDistribute02,TagAndDistribute03,TagAndDistribute04,TagAndDistribute05,TagAndDistribute06,TagAndDistribute07,TagAndDistribute08,TagAndDistribute09,TagAndDistribute10,TagAndDistribute11,TagAndDistribute12,TagAndDistribute13,TagAndDistribute14,TagAndDistribute15,TagAndDistribute16,TagAndDistribute17,TagAndDistribute18,TagAndDistribute19,GameDate_TOI,OpponentTeam_TOI,Period_TOI,PlayerName_TOI,ScoutedTeam_TOI,ScoutedWinger,ShiftDuration_TOI,ShiftDurationSec_TOI,ShiftEnd_TOI,ShiftEndSec_TOI,ShiftStart_TOI,ShiftStartSec_TOI,Strength_TOI,Player Participation Defense,Player Participation Offense
1,"GM33 2019-03-01 Harvard at RPI P1, Shift_TOI 001",Shift_TOI,Even,,00:04:09.0660000,00:00:00.00,00:04:09.04,1,,,,,20:00,,,,,,31 Savory,"06 Ferner, 13 Lee, 16 Hayhurst, 28 Hallbauer, 39 Lacka",7f77b1a7-243e-4283-8db2-5c6cebb3ea15,486a22b8-f9bf-421b-af5b-f02ae0661e41,,0,1200,0,0,0,1200,,0,7F77B1A7-243E-4283-8DB2-5C6CEBB3EA15,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:00:00,GM33 2019-03-01 Harvard at RPI P1.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,17:58,1078,,,,,0,,,,,,,,,,,0,0,,,,,,6,,,,,,,,,,,,,,,116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06 Ferner, 13 Lee, 16 Hayhurst, 28 Hallbauer, 39 Lacka"
2,"GM33 2019-03-01 Harvard at RPI P1, Shift_TOI 002",Shift_TOI,Even,,00:01:22.2320000,00:01:16.20,00:02:38.33,1,,,,,20:00,,,,,,24 Reilly,"08 Gornall, 21 Wiffen, 23 Johnson, 24 Reilly, 26 Marrello",a59fbfbd-9e4f-444d-b114-588e7a457c41,74804c2f-828a-43eb-b600-d3733bc4f06f,,0,1200,0,0,0,1200,,0,A59FBFBD-9E4F-444D-B114-588E7A457C41,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:16.3260000,GM33 2019-03-01 Harvard at RPI P1.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:10,1150,,,,,0,,,,,,,,,,,0,0,,,,,,6,,,,,,,,,,,,,,,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08 Gornall, 21 Wiffen, 23 Johnson, 24 Reilly, 26 Marrello"
3,"GM33 2019-03-01 Harvard at RPI P1, Shift_TOI 003",Shift_TOI,Even,,00:01:23.1160000,00:01:16.25,00:02:39.32,1,,,,,20:00,,,,,,23 Johnson,"08 Gornall, 21 Wiffen, 23 Johnson, 26 Marrello",738f0d73-6be7-4b4a-a876-1ea4b1edb5fe,088fe6aa-fd0a-4b74-83bc-bb10a3d90ef2,,0,1200,0,0,0,1200,,0,738F0D73-6BE7-4B4A-A876-1EA4B1EDB5FE,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:16.4100000,GM33 2019-03-01 Harvard at RPI P1.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:09,1149,,,,,0,,,,,,,,,,,0,0,,,,,,6,,,,,,,,,,,,,,,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08 Gornall, 21 Wiffen, 23 Johnson, 26 Marrello"
4,"GM33 2019-03-01 Harvard at RPI P1, Shift_TOI 004",Shift_TOI,Even,,00:00:32.3320000,00:01:16.34,00:01:48.53,1,,,,,20:00,,,,,,09 Moore,"09 Moore, 12 Zieky, 23 Johnson, 24 Reilly",c22c955c-108c-4e11-b15c-c2bab680cce0,725b67b8-dd7a-444b-ba17-4452a8251f6d,,0,1200,0,0,0,1200,,0,C22C955C-108C-4E11-B15C-C2BAB680CCE0,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:16.5600000,GM33 2019-03-01 Harvard at RPI P1.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:40,1180,,,,,0,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09 Moore, 12 Zieky, 23 Johnson, 24 Reilly"
5,"GM33 2019-03-01 Harvard at RPI P1, Shift_TOI 005",Shift_TOI,Even,,00:00:33.4330000,00:01:16.39,00:01:50.05,1,,,,,20:00,,,,,,12 Zieky,"12 Zieky, 23 Johnson, 24 Reilly",8e786e08-efec-4f26-ae0f-2be066f1b4ba,9cae7ac4-feb9-4714-a899-32f71911178d,,0,1200,0,0,0,1200,,0,8E786E08-EFEC-4F26-AE0F-2BE066F1B4BA,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:16.6430000,GM33 2019-03-01 Harvard at RPI P1.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:40,1180,,,,,0,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12 Zieky, 23 Johnson, 24 Reilly"
6,"GM33 2019-03-01 Harvard at RPI P1, Shift_TOI 006",Shift_TOI,Even,,00:00:31.3980000,00:01:17.02,00:01:48.25,1,,,,,20:00,,,,,,17 Burgess,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly",f3338426-f301-4457-8fbd-5ca654cbf6e8,1766821d-ca35-4e58-bc57-5d0ffd5c503e,,0,1200,0,0,0,1200,,0,F3338426-F301-4457-8FBD-5CA654CBF6E8,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:17.0270000,GM33 2019-03-01 Harvard at RPI P1.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:40,1180,,,,,0,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly"
7,"GM33 2019-03-01 Harvard at RPI P1, TeamShift 001",TeamShift,Even,,00:00:19.5860000,00:01:17.03,00:01:36.38,1,,,,,20:00,,,,,,,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly",d5afb212-deba-4e04-b164-4c9859ff1e47,c35dfa56-a919-4c95-a469-3642287ebb5b,,0,1200,0,0,0,1200,,0,D5AFB212-DEBA-4E04-B164-4C9859FF1E47,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:17.0440000,GM33 2019-03-01 Harvard at RPI P1.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,19:40,1180,,,,,0,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly"
8,"GM33 2019-03-01 Harvard at RPI P1, Game 001",Game,Even,,00:33:05.4020000,00:01:17.41,00:34:23.05,1,,,,,,,,,,,,,14c99751-93d1-4451-9225-b20a6bda2911,61b774a1-81a9-44d9-83a5-97b9ad46d22a,,0,0,0,0,0,0,,0,14C99751-93D1-4451-9225-B20A6BDA2911,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:17.6780000,GM33 2019-03-01 Harvard at RPI P1.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"GM33 2019-03-01 Harvard at RPI P1, SyncPoint 001",SyncPoint,Even,,00:00:02.0020000,00:01:17.41,00:01:19.41,1,,,,,20:00,,,,,,,,aec21a22-62df-4547-a599-a553906e97ea,3596a184-74d2-44ca-ad56-3a1bbcace742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:01:17.6780000,GM33 2019-03-01 Harvard at RPI P1.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"GM33 2019-03-01 Harvard at RPI P1, Faceoff 001",Faceoff,Even,nz,00:00:12.9800000,00:01:18.12,00:01:31.10,1,,,,,20:00,,loss,center,,23 Shore,09 Moore,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly",6a2d2073-bcfe-4d8f-88aa-c7a0d459457c,9b31c71a-686a-4bb5-8648-6c981904be36,,0,1200,0,0,0,1200,,0,6A2D2073-BCFE-4D8F-88AA-C7A0D459457C,1,0,0,0,EVEN,0,,,,,,,,,,,,,,,,,,00:01:18.1950000,GM33 2019-03-01 Harvard at RPI P1.mp4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1/2019 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPI,,,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,0,,,,,,,,,,,0,0,,,,,,,forehand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly"
