,faceoff,shot_for,Shot_against,Possession,,,
Colgate,1.1,1.3,,,,,"I have recorded the latency of faceoff and shot for for all the four games, but I have only recorded the latency of shot against and possession for Quinnipiac"
,0.6,1.2,,,,,
,1.2,1.4,,,,,
,0.5,1.3,,,,,
,1.1,3.1,,,,,
,1.3,1.3,,,,,
,1.2,1.4,,,,,
,0.4,1,,,,,
,1.3,0.5,,,,,
,1.1,1.3,,,,,
Quinnipiac,1.1,1.4,2.2,1.2,,,
,0.3,1.1,1.5,0.5,,,
,0.5,1.3,1.3,1.2,,,
,2.1,1.3,1.2,0.5,,,
,1.1,1.5,1.1,0.6,,,
,1.2,2.3,1.1,1.1,,,
,0.4,1.3,1.2,1.6,,,
,1,1.3,1,0.5,,,
,1.1,1.4,1.2,1.5,,,
,1.1,1.1,1.2,0.4,,,
Harvard,1.2,1.4,,,,,
,1,2.3,,,,,
,1.1,2.2,,,,,
,1.4,1,,,,,
,0.5,1.4,,,,,
,1,1.5,,,,,
,0.2,1.3,,,,,
,1.2,1.5,,,,,
,0.4,4.3,,,,,
,0.4,1.2,,,,,
Dartmouth,1.5,1.2,,,,,
,1.1,2.2,,,,,
,1.4,2.1,,,,,
,1.1,0.4,,,,,
,1.4,1.4,,,,,
,0.4,1.3,,,,,
,0.5,1.3,,,,,
,0.2,0.5,,,,,
,0.3,1.1,,,,,
,0.4,1.4,,,,,
,,,,,,,
Avg,0.91,1.47,1.3,0.91,,,
