"Game","Period","Time","Event","Poss","EventPoss","PossID","EventSeq"
1,1,0.000809259,"Faceoff","Colgate","",1,1
1,1,0.000836921,"NZ_forecheck","Colgate","",1,2
1,1,0.0008691,"","Colgate","",1,3
1,1,0.00088113,"","Colgate","",1,4
1,1,0.000918056,"Opponent_forecheck","Colgate","",1,5
1,1,0.000919676,"Entry","Colgate","",1,6
1,1,0.00104456,"Defensive_zone","Colgate","",1,7
1,1,0.00109444,"Shot_against","Colgate","Colgate",1,8
1,1,0.001114005,"Defensive_zone","Colgate","",1,9
1,1,0.0011419,"Shot_against","Colgate","Colgate",1,10
1,1,0.001183565,"Breakout","Colgate","",1,11
1,1,0.001199074,"Entry","Colgate","",1,12
1,1,0.001208218,"Offensive_zone","Colgate","",1,13
1,1,0.00121713,"","RPI","",1,1
1,1,0.00126956,"Shot_for","RPI","RPI",1,2
1,1,0.00128484,"","Colgate","",2,1
1,1,0.00128912,"Takeaway","Colgate","Colgate",2,2
1,1,0.00131921,"","RPI","",2,1
1,1,0.00138796,"","Colgate","",3,1
1,1,0.001446991,"Opponent_breakout","Colgate","",3,2
1,1,0.001691088,"Faceoff","Colgate","",3,3
1,1,0.00171458,"","Colgate","",3,4
1,1,0.001729977,"NZ_forecheck","Colgate","",3,5
1,1,0.00175162,"Opponent_forecheck","Colgate","",3,6
1,1,0.001753125,"Opponent_entry","Colgate","",3,7
1,1,0.001809259,"Breakout","Colgate","",3,8
1,1,0.00182778,"","RPI","",3,1
1,1,0.001820023,"Giveaway","RPI","RPI",3,2
1,1,0.001841319,"Entry","RPI","",3,3
1,1,0.00184294,"","Colgate","",4,1
1,1,0.001845833,"Offensive_zone","Colgate","",4,2
1,1,0.001846296,"Takeaway","Colgate","Colgate",4,3
1,1,0.001937037,"Opponent_breakout","Colgate","",4,4
1,1,0.001968981,"Opponent_entry","Colgate","",4,5
1,1,0.001980093,"Defensive_zone","Colgate","",4,6
1,1,0.00219375,"NZ_forecheck","Colgate","",4,7
1,1,0.002214005,"Opponent_entry","Colgate","",4,8
1,1,0.002224537,"Defensive_zone","Colgate","",4,9
1,1,0.002431134,"Faceoff","Colgate","",4,10
1,1,0.0024684,"","Colgate","",4,11
1,1,0.002471181,"NZ_forecheck","Colgate","",4,12
1,1,0.002491898,"Forecheck","Colgate","",4,13
1,1,0.002546759,"Opponent_breakout","Colgate","",4,14
1,1,0.00261944,"","RPI","",4,1
1,1,0.002629745,"NZ_offense","RPI","",4,2
1,1,0.002675116,"Forecheck","RPI","",4,3
1,1,0.002676852,"Entry","RPI","",4,4
1,1,0.002997801,"Faceoff","RPI","",4,5
1,1,0.003014236,"Defensive_zone","RPI","",4,6
1,1,0.003068519,"Giveaway","RPI","RPI",4,7
1,1,0.00307905,"","Colgate","",5,1
1,1,0.003106944,"Breakout","Colgate","",5,2
1,1,0.00312431,"","RPI","",5,1
1,1,0.003153125,"NZ_offense","RPI","",5,2
1,1,0.003178125,"Forecheck","RPI","",5,3
1,1,0.003186806,"Entry","RPI","",5,4
1,1,0.00324294,"","Colgate","",6,1
1,1,0.003280208,"Opponent_breakout","Colgate","",6,2
1,1,0.003337037,"Opponent_entry","Colgate","",6,3
1,1,0.00335648,"","RPI","",6,1
1,1,0.003622338,"Faceoff","RPI","",6,2
1,1,0.00365046,"","RPI","",6,3
1,1,0.003658218,"Defensive_zone","RPI","",6,4
1,1,0.00369618,"","Colgate","",7,1
1,1,0.00373125,"","RPI","",7,1
1,1,0.003732176,"Breakout","RPI","",7,2
1,1,0.003762037,"Forecheck","RPI","",7,3
1,1,0.003763657,"Entry","RPI","",7,4
1,1,0.003844907,"Opponent_breakout","RPI","",7,5
1,1,0.00384838,"","Colgate","",8,1
1,1,0.00387963,"Opponent_entry","Colgate","",8,2
1,1,0.003924769,"Defensive_zone","Colgate","",8,3
1,1,0.003974653,"Breakout","Colgate","",8,4
1,1,0.00400694,"","Colgate","",8,5
1,1,0.004008796,"Forecheck","Colgate","",8,6
1,1,0.004011111,"Entry","Colgate","",8,7
1,1,0.00403275,"","RPI","",8,1
1,1,0.00411053,"","Colgate","",9,1
1,1,0.004109606,"Takeaway","Colgate","Colgate",9,2
1,1,0.004123495,"Offensive_zone","Colgate","",9,3
1,1,0.004481944,"Faceoff","Colgate","",9,4
1,1,0.00451308,"","RPI","",9,1
1,1,0.004575926,"Opponent_breakout","RPI","",9,2
1,1,0.004611806,"Opponent_forecheck","RPI","",9,3
1,1,0.004618634,"Opponent_entry","RPI","",9,4
1,1,0.004647454,"Defensive_zone","RPI","",9,5
1,1,0.004713773,"Breakout","RPI","",9,6
1,1,0.00472778,"","RPI","",9,7
1,1,0.004746644,"Forecheck","RPI","",9,8
1,1,0.004749306,"Entry","RPI","",9,9
1,1,0.00477338,"Offensive_zone","RPI","",9,10
1,1,0.00480544,"Giveaway","RPI","RPI",9,11
1,1,0.00489375,"Shot_for","RPI","RPI",9,12
1,1,0.00498958,"","Colgate","",10,1
1,1,0.005027662,"Opponent_breakout","Colgate","",10,2
1,1,0.005051157,"Opponent_entry","Colgate","",10,3
1,1,0.00506088,"Defensive_zone","Colgate","",10,4
1,1,0.00507847,"Shot_against","Colgate","Colgate",10,5
1,1,0.005127662,"NZ_offense","Colgate","",10,6
1,1,0.00514109,"","RPI","",10,1
1,1,0.005189931,"Entry","RPI","",10,2
1,1,0.005223032,"Opponent_entry","RPI","",10,3
1,1,0.005234375,"Defensive_zone","RPI","",10,4
1,1,0.005533681,"NZ_forecheck","RPI","",10,5
1,1,0.005535648,"Faceoff","RPI","",10,6
1,1,0.005568519,"Opponent_forecheck","RPI","",10,7
1,1,0.00557824,"","Colgate","",11,1
1,1,0.005579051,"Opponent_entry","Colgate","",11,2
1,1,0.00561586,"","RPI","",11,1
1,1,0.005639815,"Breakout","RPI","",11,2
1,1,0.005665162,"Forecheck","RPI","",11,3
1,1,0.005673495,"Entry","RPI","",11,4
1,1,0.0056978,"","Colgate","",12,1
1,1,0.005733449,"Penalty","Colgate","",12,2
1,1,0.005789352,"Takeaway","Colgate","Colgate",12,3
1,1,0.00639456,"Penalty_kill","Colgate","",12,4
1,1,0.006405787,"Faceoff","Colgate","",12,5
1,1,0.006428009,"Defensive_zone","Colgate","",12,6
1,1,0.00644664,"","Colgate","",12,7
1,1,0.00668275,"Shot_against","Colgate","Colgate",12,8
1,1,0.006821644,"Zone_clear","Colgate","",12,9
1,1,0.00698623,"Shot_against","Colgate","Colgate",12,10
1,1,0.007385648,"Faceoff","Colgate","",12,11
1,1,0.007411227,"Opponent_entry","Colgate","",12,12
1,1,0.007422685,"Defensive_zone","Colgate","",12,13
1,1,0.0074235,"","Colgate","",12,14
1,1,0.007582755,"Breakout","Colgate","",12,15
1,1,0.00759155,"","RPI","",12,1
1,1,0.00759919,"NZ_forecheck","RPI","",12,2
1,1,0.00764433,"","Colgate","",13,1
1,1,0.007689931,"NZ_offense","Colgate","",13,2
1,1,0.00772326,"","RPI","",13,1
1,1,0.007770023,"Forecheck","RPI","",13,2
1,1,0.007771759,"Entry","RPI","",13,3
1,1,0.00785046,"","Colgate","",14,1
1,1,0.007851968,"Opponent_breakout","Colgate","",14,2
1,1,0.00788831,"Opponent_entry","Colgate","",14,3
1,1,0.007908681,"Breakout","Colgate","",14,4
1,1,0.0079169,"","RPI","",14,1
1,1,0.007931019,"Entry","RPI","",14,2
1,1,0.007940509,"Offensive_zone","RPI","",14,3
1,1,0.00797222,"Shot_for","RPI","RPI",14,4
1,1,0.00810347,"","Colgate","",15,1
1,1,0.007991088,"Takeaway","Colgate","Colgate",15,2
1,1,0.008163194,"Opponent_breakout","Colgate","",15,3
1,1,0.008196759,"Opponent_entry","Colgate","",15,4
1,1,0.008232639,"Defensive_zone","Colgate","",15,5
1,1,0.00825914,"Shot_against","Colgate","Colgate",15,6
1,1,0.00832685,"","RPI","",15,1
1,1,0.008335185,"Breakout","RPI","",15,2
1,1,0.008359722,"Forecheck","RPI","",15,3
1,1,0.008362731,"Entry","RPI","",15,4
1,1,0.00845417,"","Colgate","",16,1
1,1,0.008463194,"Offensive_zone","Colgate","",16,2
1,1,0.008546991,"Opponent_breakout","Colgate","",16,3
1,1,0.008600694,"Opponent_forecheck","Colgate","",16,4
1,1,0.00860625,"Breakout","Colgate","",16,5
1,1,0.008634838,"Entry","Colgate","",16,6
1,1,0.008638773,"Offensive_zone","Colgate","",16,7
1,1,0.00865868,"","RPI","",16,1
1,1,0.0086765,"Shot_for","RPI","RPI",16,2
1,1,0.009089931,"Faceoff","RPI","",16,3
1,1,0.009101389,"NZ_forecheck","RPI","",16,4
1,1,0.00914282,"","Colgate","",17,1
1,1,0.009147801,"Opponent_forecheck","Colgate","",17,2
1,1,0.009155787,"Opponent_entry","Colgate","",17,3
1,1,0.009179167,"Goalie_touch","Colgate","",17,4
1,1,0.00921551,"","RPI","",17,1
1,1,0.00926354,"","Colgate","",18,1
