,Game,Period,Time,Event,Poss,EventPoss
218,1,1,0.000809259,Faceoff,,
271,1,1,0.000836921,NZ_forecheck,,
43,1,1,0.0008691,OppoPoss,Colgate,
44,1,1,0.00088113,OppoPoss,Colgate,
365,1,1,0.000918056,Opponent_forecheck,Colgate,
186,1,1,0.000919676,Entry,Colgate,
168,1,1,0.00104456,Defensive_zone,Colgate,
110,1,1,0.00109444,Shot_against,Colgate,Colgate
169,1,1,0.001114005,Defensive_zone,Colgate,
111,1,1,0.0011419,Shot_against,Colgate,Colgate
138,1,1,0.001183565,Breakout,Colgate,
187,1,1,0.001199074,Entry,Colgate,
293,1,1,0.001208218,Offensive_zone,Colgate,
1,1,1,0.00121713,RPIPoss,RPI,
93,1,1,0.00126956,Shot_for,RPI,RPI
45,1,1,0.00128484,OppoPoss,Colgate,
133,1,1,0.00128912,Takeaway,Colgate,Colgate
2,1,1,0.00131921,RPIPoss,RPI,
46,1,1,0.00138796,OppoPoss,Colgate,
310,1,1,0.001446991,Opponent_breakout,Colgate,
219,1,1,0.001691088,Faceoff,Colgate,
47,1,1,0.00171458,OppoPoss,Colgate,
272,1,1,0.001729977,NZ_forecheck,Colgate,
366,1,1,0.00175162,Opponent_forecheck,Colgate,
337,1,1,0.001753125,Opponent_entry,Colgate,
139,1,1,0.001809259,Breakout,Colgate,
125,1,1,0.001820023,Giveaway,Colgate,RPI
3,1,1,0.00182778,RPIPoss,RPI,
188,1,1,0.001841319,Entry,RPI,
48,1,1,0.00184294,OppoPoss,Colgate,
294,1,1,0.001845833,Offensive_zone,Colgate,
134,1,1,0.001846296,Takeaway,Colgate,Colgate
126,1,1,0.001866088,Giveaway,Colgate,RPI
311,1,1,0.001937037,Opponent_breakout,Colgate,
338,1,1,0.001968981,Opponent_entry,Colgate,
170,1,1,0.001980093,Defensive_zone,Colgate,
273,1,1,0.00219375,NZ_forecheck,Colgate,
339,1,1,0.002214005,Opponent_entry,Colgate,
171,1,1,0.002224537,Defensive_zone,Colgate,
220,1,1,0.002431134,Faceoff,Colgate,
49,1,1,0.0024684,OppoPoss,Colgate,
274,1,1,0.002471181,NZ_forecheck,Colgate,
242,1,1,0.002491898,Forecheck,Colgate,
312,1,1,0.002546759,Opponent_breakout,Colgate,
4,1,1,0.00261944,RPIPoss,RPI,
285,1,1,0.002629745,NZ_offense,RPI,
243,1,1,0.002675116,Forecheck,RPI,
189,1,1,0.002676852,Entry,RPI,
221,1,1,0.002997801,Faceoff,RPI,
172,1,1,0.003014236,Defensive_zone,RPI,
112,1,1,0.00303773,Shot_against,RPI,Colgate
127,1,1,0.003068519,Giveaway,RPI,RPI
50,1,1,0.00307905,OppoPoss,Colgate,
140,1,1,0.003106944,Breakout,Colgate,
5,1,1,0.00312431,RPIPoss,RPI,
286,1,1,0.003153125,NZ_offense,RPI,
244,1,1,0.003178125,Forecheck,RPI,
190,1,1,0.003186806,Entry,RPI,
51,1,1,0.00324294,OppoPoss,Colgate,
313,1,1,0.003280208,Opponent_breakout,Colgate,
340,1,1,0.003337037,Opponent_entry,Colgate,
6,1,1,0.00335648,RPIPoss,RPI,
222,1,1,0.003622338,Faceoff,RPI,
7,1,1,0.00365046,RPIPoss,RPI,
173,1,1,0.003658218,Defensive_zone,RPI,
52,1,1,0.00369618,OppoPoss,Colgate,
8,1,1,0.00373125,RPIPoss,RPI,
141,1,1,0.003732176,Breakout,RPI,
245,1,1,0.003762037,Forecheck,RPI,
191,1,1,0.003763657,Entry,RPI,
314,1,1,0.003844907,Opponent_breakout,RPI,
53,1,1,0.00384838,OppoPoss,Colgate,
341,1,1,0.00387963,Opponent_entry,Colgate,
174,1,1,0.003924769,Defensive_zone,Colgate,
142,1,1,0.003974653,Breakout,Colgate,
54,1,1,0.00400694,OppoPoss,Colgate,
246,1,1,0.004008796,Forecheck,Colgate,
192,1,1,0.004011111,Entry,Colgate,
9,1,1,0.00403275,RPIPoss,RPI,
135,1,1,0.004109606,Takeaway,RPI,Colgate
55,1,1,0.00411053,OppoPoss,Colgate,
295,1,1,0.004123495,Offensive_zone,Colgate,
94,1,1,0.00418912,Shot_for,Colgate,RPI
223,1,1,0.004481944,Faceoff,Colgate,
10,1,1,0.00451308,RPIPoss,RPI,
315,1,1,0.004575926,Opponent_breakout,RPI,
367,1,1,0.004611806,Opponent_forecheck,RPI,
342,1,1,0.004618634,Opponent_entry,RPI,
175,1,1,0.004647454,Defensive_zone,RPI,
143,1,1,0.004713773,Breakout,RPI,
11,1,1,0.00472778,RPIPoss,RPI,
247,1,1,0.004746644,Forecheck,RPI,
193,1,1,0.004749306,Entry,RPI,
296,1,1,0.00477338,Offensive_zone,RPI,
128,1,1,0.00480544,Giveaway,RPI,RPI
95,1,1,0.00489375,Shot_for,RPI,RPI
56,1,1,0.00498958,OppoPoss,Colgate,
316,1,1,0.005027662,Opponent_breakout,Colgate,
343,1,1,0.005051157,Opponent_entry,Colgate,
176,1,1,0.00506088,Defensive_zone,Colgate,
113,1,1,0.00507847,Shot_against,Colgate,Colgate
287,1,1,0.005127662,NZ_offense,Colgate,
12,1,1,0.00514109,RPIPoss,RPI,
194,1,1,0.005189931,Entry,RPI,
344,1,1,0.005223032,Opponent_entry,RPI,
177,1,1,0.005234375,Defensive_zone,RPI,
114,1,1,0.00525914,Shot_against,RPI,Colgate
275,1,1,0.005533681,NZ_forecheck,RPI,
224,1,1,0.005535648,Faceoff,RPI,
368,1,1,0.005568519,Opponent_forecheck,RPI,
57,1,1,0.00557824,OppoPoss,Colgate,
345,1,1,0.005579051,Opponent_entry,Colgate,
13,1,1,0.00561586,RPIPoss,RPI,
144,1,1,0.005639815,Breakout,RPI,
248,1,1,0.005665162,Forecheck,RPI,
195,1,1,0.005673495,Entry,RPI,
58,1,1,0.0056978,OppoPoss,Colgate,
382,1,1,0.005733449,Penalty,Colgate,
136,1,1,0.005789352,Takeaway,Colgate,Colgate
385,1,1,0.00639456,Penalty_kill,Colgate,
225,1,1,0.006405787,Faceoff,Colgate,
178,1,1,0.006428009,Defensive_zone,Colgate,
59,1,1,0.00644664,OppoPoss,Colgate,
115,1,1,0.00668275,Shot_against,Colgate,Colgate
388,1,1,0.006821644,Zone_clear,Colgate,
116,1,1,0.00698623,Shot_against,Colgate,Colgate
226,1,1,0.007385648,Faceoff,Colgate,
346,1,1,0.007411227,Opponent_entry,Colgate,
179,1,1,0.007422685,Defensive_zone,Colgate,
60,1,1,0.0074235,OppoPoss,Colgate,
145,1,1,0.007582755,Breakout,Colgate,
14,1,1,0.00759155,RPIPoss,RPI,
276,1,1,0.00759919,NZ_forecheck,RPI,
61,1,1,0.00764433,OppoPoss,Colgate,
288,1,1,0.007689931,NZ_offense,Colgate,
15,1,1,0.00772326,RPIPoss,RPI,
249,1,1,0.007770023,Forecheck,RPI,
196,1,1,0.007771759,Entry,RPI,
62,1,1,0.00785046,OppoPoss,Colgate,
317,1,1,0.007851968,Opponent_breakout,Colgate,
347,1,1,0.00788831,Opponent_entry,Colgate,
146,1,1,0.007908681,Breakout,Colgate,
16,1,1,0.0079169,RPIPoss,RPI,
197,1,1,0.007931019,Entry,RPI,
297,1,1,0.007940509,Offensive_zone,RPI,
96,1,1,0.00797222,Shot_for,RPI,RPI
137,1,1,0.007991088,Takeaway,RPI,Colgate
63,1,1,0.00810347,OppoPoss,Colgate,
318,1,1,0.008163194,Opponent_breakout,Colgate,
348,1,1,0.008196759,Opponent_entry,Colgate,
180,1,1,0.008232639,Defensive_zone,Colgate,
117,1,1,0.00825914,Shot_against,Colgate,Colgate
17,1,1,0.00832685,RPIPoss,RPI,
147,1,1,0.008335185,Breakout,RPI,
250,1,1,0.008359722,Forecheck,RPI,
198,1,1,0.008362731,Entry,RPI,
64,1,1,0.00845417,OppoPoss,Colgate,
298,1,1,0.008463194,Offensive_zone,Colgate,
97,1,1,0.00850382,Shot_for,Colgate,RPI
319,1,1,0.008546991,Opponent_breakout,Colgate,
369,1,1,0.008600694,Opponent_forecheck,Colgate,
