OPPOA,OPPOB,duration
0.0008853,0.00090347,0.00001468
0.00094109,0.00112465,0.00018248
0.00123762,0.00141609,0.00018170
0.00188715,0.00207755,0.00019387
0.00211227,0.00230382,0.00018808
0.00241887,0.00258148,0.00016297
0.00265475,0.00277072,0.00011624
0.0030588,0.00328877,0.00022900
0.00333565,0.00350938,0.00017378
0.0035309,0.0036728,0.00014385
0.00385324,0.00398287,0.00013111
0.00446019,0.00449132,0.00002877
0.00453032,0.00461968,0.00008708
0.00465637,0.00485509,0.00020005
0.0049235,0.00514259,0.00021839
0.00528137,0.00533981,0.00005870
0.0054272,0.00547419,0.00004750
0.00550127,0.00556019,0.00005947
0.0055684,0.00565162,0.00008477
0.00567292,0.00596238,0.00028944
0.00614815,0.00619144,0.00004132
0.00694549,0.00706238,0.00011759
0.00787407,0.00803553,0.00016104
0.00934352,0.00947986,0.00013458
0.0094831,0.00955255,0.00006951
0.00964711,0.00965613,0.00000734
0.009675,0.00983854,0.00016451
0.01028356,0.01030602,0.00002201
0.01035046,0.01043032,0.00007917
0.01049977,0.01057963,0.00007897
0.01065995,0.01070637,0.00004654
0.01097488,0.01108889,0.00011296
0.01123808,0.0112772,0.00004209
0.01151644,0.01154225,0.00002762
0.01160116,0.01165741,0.00005522
0.01175127,0.01178403,0.00003147
0.01184063,0.01185544,0.00001699
0.01186644,0.0118772,0.00001023
0.01339352,0.01352303,0.00013091
0.01385324,0.01414421,0.00029215
0.01419236,0.01423623,0.00004209
0.01433322,0.01439896,0.00006314
0.01446771,0.0146066,0.00013883
0.01481632,0.01486169,0.00004480
0.01491921,0.01510498,0.00018615
0.01574433,0.01575613,0.00001197
0.0164956,0.01657708,0.00008168
0.01679387,0.0169022,0.00011103
0.01715394,0.01717963,0.00002742
0.01722373,0.01731979,0.00009829
0.01746806,0.0176287,0.00015969
0.0185684,0.01876296,0.00019309
0.01904167,0.01919167,0.00014984
0.01920567,0.01927558,0.00007009
0.01943738,0.01950752,0.00007067
0.01959491,0.01960914,0.00001583
0.01965475,0.01973738,0.00008381
0.0199816,0.02013137,0.00014926
0.02023634,0.02040648,0.00016780
0.02058935,0.02063993,0.00005348
0.0211515,0.02129734,0.00014289
0.02187708,0.02198021,0.00010234
