Time,Event,Poss,EventPoss
0.0008853,,2,
0.00094109,,2,
0.00123762,,2,
0.00188715,,2,
0.00211227,,2,
0.00241887,,2,
0.00265475,,2,
0.0030588,,2,
0.00333565,,2,
0.0035309,,2,
0.00385324,,2,
0.00446019,,2,
0.00453032,,2,
0.00465637,,2,
0.0049235,,2,
0.00528137,,2,
0.0054272,,2,
0.00550127,,2,
0.0055684,,2,
0.00567292,,2,
0.00614815,,2,
0.00694549,,2,
0.00787407,,2,
0.00934352,,2,
0.0094831,,2,
0.00964711,,2,
0.009675,,2,
0.01028356,,2,
0.01035046,,2,
0.01049977,,2,
0.01065995,,2,
0.01097488,,2,
0.01123808,,2,
0.01151644,,2,
0.01160116,,2,
0.01175127,,2,
0.01184063,,2,
0.01186644,,2,
0.01339352,,2,
0.01385324,,2,
0.01419236,,2,
0.01433322,,2,
0.01446771,,2,
0.01481632,,2,
0.01491921,,2,
0.01574433,,2,
0.0164956,,2,
0.01679387,,2,
0.01715394,,2,
0.01722373,,2,
0.01746806,,2,
0.0185684,,2,
0.01904167,,2,
0.01920567,,2,
0.01943738,,2,
0.01959491,,2,
0.01965475,,2,
0.0199816,,2,
0.02023634,,2,
0.02058935,,2,
0.0211515,,2,
0.02187708,,2,
