RPIA,RPIB,duration
0.0008272,0.00088322,0.00005484
0.00090544,0.00093819,0.00003147
0.00112708,0.00123009,0.00010234
0.00208403,0.00210926,0.00002664
0.0023066,0.00241111,0.00010485
0.00258368,0.00264479,0.00006314
0.00302095,0.00305579,0.00003495
0.00329178,0.00332743,0.00003630
0.00351748,0.00352361,0.00001023
0.00367963,0.00384606,0.00016934
0.00398553,0.0040647,0.00007801
0.00436921,0.00445694,0.00008457
0.00449421,0.00452662,0.00003089
0.00462234,0.0046537,0.00002916
0.00486227,0.00492095,0.00005928
0.00514479,0.00527882,0.00013091
0.0053478,0.00541991,0.00007396
0.00547662,0.00549861,0.00002124
0.0056588,0.00566528,0.00001081
0.0059647,0.00632442,0.00036031
0.00669016,0.00693831,0.00025160
0.00803808,0.00818206,0.00013980
0.00875486,0.00912315,0.00036688
0.00932164,0.00934063,0.00001622
0.00956065,0.0096691,0.00011123
0.01010382,0.0102809,0.00017939
0.01031343,0.01034722,0.00003302
0.01043264,0.01049745,0.00006179
0.01058299,0.01065231,0.00006932
0.01070914,0.01097222,0.00026087
0.01109144,0.0112309,0.00013980
0.01128426,0.01150799,0.00022611
0.01155,0.01159838,0.00004981
0.01166007,0.01174861,0.00008573
0.01178681,0.01183299,0.00004615
0.01187847,0.0122919,0.00041110
0.01329861,0.01339039,0.00009133
0.01370752,0.0138456,0.00013749
0.01414653,0.01418958,0.00004094
0.01423924,0.01432963,0.00008902
0.01440243,0.01445891,0.00005561
0.0148647,0.01491111,0.00004654
0.0151081,0.01535822,0.00024697
0.01568264,0.01574086,0.00005831
0.01576424,0.01611354,0.00035086
0.01624236,0.01649248,0.00024716
0.01658484,0.016786,0.00020410
0.01690949,0.01714595,0.00023983
0.01718935,0.01721574,0.00002858
0.01732778,0.01745949,0.00013478
0.01763044,0.01775914,0.00012957
0.01850625,0.01856528,0.00005986
0.01898472,0.01903333,0.00005001
0.01919502,0.01920301,0.00000560
0.0192838,0.01943345,0.00014907
0.01951528,0.01958657,0.00007260
0.01961725,0.01964606,0.00003263
0.01974653,0.01997755,0.00023075
0.020139,0.02023333,0.00009539
0.02064792,0.02070625,0.00005870
0.02098958,0.02105463,0.00006218
0.02105752,0.02114838,0.00008959
0.02130208,0.02148681,0.00018441
0.02174144,0.02187407,0.00012860
0.02198333,0.02211944,0.00013420
