RPIA,RPIB,,,,,
0.00157431,0.00161273,,,,,
0.00165637,0.00186678,,,,,
0.00196100,0.00200463,,,,,
0.00203715,0.00206481,,,,,
0.00216817,0.00221157,,,,,
0.00228565,0.00229468,,,,,
0.00237836,0.00245475,,,,,
0.00259583,0.00270880,,,,,
0.00306632,0.00317569,,,,,
0.00321979,0.00332245,,,,,
0.00336181,0.00344815,,,,,
0.00345035,0.00349745,,,,,
0.00354630,0.00365150,,,,,
0.00396956,0.00403345,,,,,
0.00404514,0.00413148,,,,,
0.00415903,0.00426343,,,,,
0.00483762,0.00497847,,,,,
0.00543032,0.00550903,,,,,
0.00602361,0.00607882,,,,,
0.00621505,0.00626111,,,,,
0.00628692,0.00632535,,,,,
0.00634549,0.00640428,,,,,
0.00665567,0.00667847,,,,,
0.00675035,0.00679826,,,,,
0.00698160,0.00714375,,,,,
0.00750428,0.00776007,,,,,
0.00870914,0.00899340,,,,,
0.00922431,0.00935359,,,,,
0.00965324,0.00972188,,,,,
0.00978194,0.00986493,,,,,
0.01002720,0.01006840,,,,,
0.01008160,0.01009340,,,,,
0.01019965,0.01024306,,,,,
0.01039595,0.01040880,,,,,
0.01071817,0.01083368,,,,,
0.01089120,0.01094190,,,,,
0.01099618,0.01115012,,,,,
0.01117986,0.01122593,,,,,
0.01125150,0.01126157,,,,,
0.01135613,0.01141458,,,,,
0.01150984,0.01157558,,,,,
0.01171736,0.01175116,,,,,
0.01322176,0.01323137,,,,,
0.01410093,0.01417928,,,,,
0.01440903,0.01447130,,,,,
0.01457118,0.01458345,,,,,
0.01459884,0.01464502,,,,,
0.01513171,0.01527743,,,,,
0.01548796,0.01554907,,,,,
0.01590590,0.01597407,,,,,
0.01654502,0.01659711,,,,,
0.01672708,0.01682870,,,,,
0.01718657,0.01720000,,,,,
0.01743426,0.01747025,,,,,
0.01758310,0.01769676,,,,,
0.01872604,0.01875324,,,,,
0.01882477,0.01892477,,,,,
0.01895880,0.01899861,,,,,
0.01903206,0.01914630,,,,,
0.01957697,0.01966817,,,,,
0.01985451,0.01990833,,,,,
0.02015521,0.02021979,,,,,
0.02030313,0.02042118,,,,,
0.02085648,0.02097280,,,,,
0.02135729,0.02136933,,,,,
0.02138866,0.02145127,,,,,
0.02229144,0.02233229,,,,,
0.02235532,0.02251238,,,,,
0.02290799,0.02303403,,,,,
0.02310648,0.02318322,,,,,
0.02338426,0.02347523,,,,,
