Time,Event,Poss
0.001596412,,RPI
0.003025463,,RPI
0.003764583,,RPI
0.012118287,,RPI
0.012250347,,RPI
0.012547801,,RPI
0.012711574,,RPI
0.01295706,,RPI
0.013221644,,RPI
0.013716898,,RPI
0.01442338,,RPI
0.014635185,,RPI
0.014738079,,RPI
0.015381134,,RPI
0.015928819,,RPI
0.017187963,,RPI
0.017985764,,RPI
0.018057407,,RPI
0.018587384,,RPI
0.018939815,,RPI
0.021133912,,RPI
0.022862384,,RPI
0.023384954,,RPI
0.023878588,,RPI
0.024469444,,RPI
0.024852546,,RPI
0.025092477,,RPI
0.025422222,,RPI
0.025753588,,RPI
0.026195949,,RPI
0.026307755,,RPI
0.026623264,,RPI
0.026935532,,RPI
0.027374884,,RPI
0.028060185,,RPI
0.028566898,,RPI
0.028879861,,RPI
0.029274421,,RPI
0.029588194,,RPI
0.029797106,,RPI
0.030607755,,RPI
0.031299769,,RPI
0.00043044,,Colgate
0.000913542,,Colgate
0.00169537,,Colgate
0.002244792,,Colgate
0.003738773,,Colgate
0.003869329,,Colgate
0.011991898,,Colgate
0.012132523,,Colgate
0.012527546,,Colgate
0.01286088,,Colgate
0.013095949,,Colgate
0.013264815,,Colgate
0.014157755,,Colgate
0.014572569,,Colgate
0.014678704,,Colgate
0.014806597,,Colgate
0.015218981,,Colgate
0.015429398,,Colgate
0.016958333,,Colgate
0.017248264,,Colgate
0.017609028,,Colgate
0.018036806,,Colgate
0.018196296,,Colgate
0.018706019,,Colgate
0.019125694,,Colgate
0.019541319,,Colgate
0.022223843,,Colgate
0.023510185,,Colgate
0.023994907,,Colgate
0.024759954,,Colgate
0.024889468,,Colgate
0.025210648,,Colgate
0.025927662,,Colgate
0.026463194,,Colgate
0.026761806,,Colgate
0.02696875,,Colgate
0.027465394,,Colgate
0.028501157,,Colgate
0.02866875,,Colgate
0.028994676,,Colgate
0.029446991,,Colgate
0.029600231,,Colgate
0.030242824,,Colgate
0.012347454,Shot_for,
0.012545949,Shot_for,
0.012729514,Shot_for,
0.012787037,Shot_for,
0.013027083,Shot_for,
0.013745023,Shot_for,
0.015979051,Shot_for,
0.021155093,Shot_for,
0.021232639,Shot_for,
0.021441319,Shot_for,
0.022993634,Shot_for,
0.023385069,Shot_for,
0.023814699,Shot_for,
0.023896412,Shot_for,
0.024566088,Shot_for,
0.02469919,Shot_for,
0.025798611,Shot_for,
0.028043056,Shot_for,
0.028170023,Shot_for,
0.028182755,Shot_for,
0.028263079,Shot_for,
0.028317245,Shot_for,
0.029799421,Shot_for,
0.031282176,Shot_for,
0.000576389,Shot_against,
0.000930324,Shot_against,
0.00115162,Shot_against,
0.001223843,Shot_against,
0.001814815,Shot_against,
0.002435301,Shot_against,
0.002574306,Shot_against,
0.002654051,Shot_against,
0.012064699,Shot_against,
0.014682292,Shot_against,
0.015586458,Shot_against,
0.015606366,Shot_against,
0.01714838,Shot_against,
0.017691088,Shot_against,
0.017703472,Shot_against,
0.017735995,Shot_against,
0.017795023,Shot_against,
0.019112731,Shot_against,
0.022253704,Shot_against,
0.022343519,Shot_against,
0.02240081,Shot_against,
0.022416551,Shot_against,
0.022439931,Shot_against,
0.02502963,Shot_against,
0.026155093,Shot_against,
0.027297569,Shot_against,
0.028667824,Shot_against,
0.030576968,Shot_against,
0.000941782,Giveaway,
0.002617361,Giveaway,
0.012829514,Giveaway,
0.014462153,Giveaway,
0.014621065,Giveaway,
0.014757639,Giveaway,
0.016980787,Giveaway,
0.017083681,Giveaway,
0.019077315,Giveaway,
0.022193403,Giveaway,
0.022269097,Giveaway,
0.025128356,Giveaway,
0.026933333,Giveaway,
0.027178009,Giveaway,
0.030590741,Giveaway,
0.003187037,Takeaway,
0.012525,Takeaway,
0.015220023,Takeaway,
0.015755903,Takeaway,
0.015906944,Takeaway,
0.021250463,Takeaway,
0.022964005,Takeaway,
0.023350694,Takeaway,
0.025376505,Takeaway,
0.026218634,Takeaway,
0.026890972,Takeaway,
0.029746644,Takeaway,
0.030626968,Takeaway,
0.001598958,Breakout,
0.00221169,Breakout,
0.003011806,Breakout,
0.012282292,Breakout,
0.012951505,Breakout,
0.013208218,Breakout,
0.014504745,Breakout,
0.014737847,Breakout,
0.015348958,Breakout,
0.015743171,Breakout,
0.015896759,Breakout,
0.017170833,Breakout,
0.017945602,Breakout,
0.022852778,Breakout,
0.024496991,Breakout,
0.02483831,Breakout,
0.025072222,Breakout,
0.026159491,Breakout,
0.026649074,Breakout,
0.027344792,Breakout,
0.028559144,Breakout,
0.028904167,Breakout,
0.029271065,Breakout,
0.029508449,Breakout,
0.029689352,Breakout,
0.03063912,Breakout,
0.031264815,Breakout,
0.000559259,Defensive_zone,
0.000881366,Defensive_zone,
0.001783102,Defensive_zone,
0.002401389,Defensive_zone,
0.01204375,Defensive_zone,
0.014653125,Defensive_zone,
0.015559375,Defensive_zone,
0.017109144,Defensive_zone,
0.017665046,Defensive_zone,
0.018854745,Defensive_zone,
0.019514468,Defensive_zone,
0.022087963,Defensive_zone,
0.024995139,Defensive_zone,
0.026078241,Defensive_zone,
0.026484722,Defensive_zone,
0.026956944,Defensive_zone,
0.028639005,Defensive_zone,
0.029042245,Defensive_zone,
0.029112037,Defensive_zone,
0.029612963,Defensive_zone,
0.030550694,Defensive_zone,
0.001658218,Entry,
0.003044792,Entry,
0.003810995,Entry,
0.012306481,Entry,
0.01297662,Entry,
0.015375231,Entry,
0.015919907,Entry,
0.017201042,Entry,
0.01806794,Entry,
0.022886921,Entry,
0.023925579,Entry,
0.024074306,Entry,
0.024528704,Entry,
0.025108912,Entry,
0.025396759,Entry,
0.025724421,Entry,
0.026680787,Entry,
0.02691412,Entry,
0.027365509,Entry,
0.030269676,Entry,
0.030683218,Entry,
0.031251505,Entry,
0.000405324,Faceoff,
0.000869907,Faceoff,
0.001519444,Faceoff,
0.002177662,Faceoff,
0.002978588,Faceoff,
0.003645833,Faceoff,
0.011938542,Faceoff,
0.013668519,Faceoff,
0.014078241,Faceoff,
0.015155556,Faceoff,
0.01689919,Faceoff,
0.017551968,Faceoff,
0.018545023,Faceoff,
0.019502199,Faceoff,
0.021079745,Faceoff,
0.021949537,Faceoff,
0.022815856,Faceoff,
0.023297801,Faceoff,
0.023762384,Faceoff,
0.024385648,Faceoff,
0.025699074,Faceoff,
0.027998495,Faceoff,
0.030152662,Faceoff,
0.031227083,Faceoff,
0.001649306,Forecheck,
0.003038657,Forecheck,
0.003809375,Forecheck,
0.022885069,Forecheck,
0.023923843,Forecheck,
0.024876273,Forecheck,
0.025168171,Forecheck,
0.025722917,Forecheck,
0.026679051,Forecheck,
0.0274,Forecheck,
0.029300231,Forecheck,
0.030314815,Forecheck,
0.029109491,Goalie_out,
0.031206713,Goalie_out,
0.001161343,Goalie_touch,
0.014375463,Goalie_touch,
0.014578125,Goalie_touch,
0.015480093,Goalie_touch,
0.018254861,Goalie_touch,
0.018787153,Goalie_touch,
0.024749421,Goalie_touch,
0.025027894,Goalie_touch,
0.000418981,NZ_forecheck,
0.00223912,NZ_forecheck,
0.012111111,NZ_forecheck,
0.013241319,NZ_forecheck,
0.014283565,NZ_forecheck,
0.014528472,NZ_forecheck,
0.014769329,NZ_forecheck,
0.015408449,NZ_forecheck,
0.015768287,NZ_forecheck,
0.01699213,NZ_forecheck,
0.01756331,NZ_forecheck,
0.017988194,NZ_forecheck,
0.021968287,NZ_forecheck,
0.024850926,NZ_forecheck,
0.026203819,NZ_forecheck,
0.028604167,NZ_forecheck,
0.028938542,NZ_forecheck,
0.029548843,NZ_forecheck,
0.029728241,NZ_forecheck,
0.030291088,NZ_forecheck,
0.030440625,NZ_forecheck,
0.003752894,NZ_offense,
0.016971875,NZ_offense,
0.018020833,NZ_offense,
0.023900579,NZ_offense,
