Time,Event,Poss
0.0008272,,RPI
0.00090544,,RPI
0.00112708,,RPI
0.00208403,,RPI
0.0023066,,RPI
0.00258368,,RPI
0.00302095,,RPI
0.00329178,,RPI
0.00351748,,RPI
0.00367963,,RPI
0.00398553,,RPI
0.00436921,,RPI
0.00449421,,RPI
0.00462234,,RPI
0.00486227,,RPI
0.00514479,,RPI
0.0053478,,RPI
0.00547662,,RPI
0.0056588,,RPI
0.0059647,,RPI
0.00669016,,RPI
0.00803808,,RPI
0.00875486,,RPI
0.00932164,,RPI
0.00956065,,RPI
0.01010382,,RPI
0.01031343,,RPI
0.01043264,,RPI
0.01058299,,RPI
0.01070914,,RPI
0.01109144,,RPI
0.01128426,,RPI
0.01155,,RPI
0.01166007,,RPI
0.01178681,,RPI
0.01187847,,RPI
0.01329861,,RPI
0.01370752,,RPI
0.01414653,,RPI
0.01423924,,RPI
0.01440243,,RPI
0.0148647,,RPI
0.0151081,,RPI
0.01568264,,RPI
0.01576424,,RPI
0.01624236,,RPI
0.01658484,,RPI
0.01690949,,RPI
0.01718935,,RPI
0.01732778,,RPI
0.01763044,,RPI
0.01850625,,RPI
0.01898472,,RPI
0.01919502,,RPI
0.0192838,,RPI
0.01951528,,RPI
0.01961725,,RPI
0.01974653,,RPI
0.020139,,RPI
0.02064792,,RPI
0.02098958,,RPI
0.02105752,,RPI
0.02130208,,RPI
0.02174144,,RPI
0.02198333,,RPI
0.0008853,,Dartmouth
0.00094109,,Dartmouth
0.00123762,,Dartmouth
0.00188715,,Dartmouth
0.00211227,,Dartmouth
0.00241887,,Dartmouth
0.00265475,,Dartmouth
0.0030588,,Dartmouth
0.00333565,,Dartmouth
0.0035309,,Dartmouth
0.00385324,,Dartmouth
0.00446019,,Dartmouth
0.00453032,,Dartmouth
0.00465637,,Dartmouth
0.0049235,,Dartmouth
0.00528137,,Dartmouth
0.0054272,,Dartmouth
0.00550127,,Dartmouth
0.0055684,,Dartmouth
0.00567292,,Dartmouth
0.00614815,,Dartmouth
0.00694549,,Dartmouth
0.00787407,,Dartmouth
0.00934352,,Dartmouth
0.0094831,,Dartmouth
0.00964711,,Dartmouth
0.009675,,Dartmouth
0.01028356,,Dartmouth
0.01035046,,Dartmouth
0.01049977,,Dartmouth
0.01065995,,Dartmouth
0.01097488,,Dartmouth
0.01123808,,Dartmouth
0.01151644,,Dartmouth
0.01160116,,Dartmouth
0.01175127,,Dartmouth
0.01184063,,Dartmouth
0.01186644,,Dartmouth
0.01339352,,Dartmouth
0.01385324,,Dartmouth
0.01419236,,Dartmouth
0.01433322,,Dartmouth
0.01446771,,Dartmouth
0.01481632,,Dartmouth
0.01491921,,Dartmouth
0.01574433,,Dartmouth
0.0164956,,Dartmouth
0.01679387,,Dartmouth
0.01715394,,Dartmouth
0.01722373,,Dartmouth
0.01746806,,Dartmouth
0.0185684,,Dartmouth
0.01904167,,Dartmouth
0.01920567,,Dartmouth
0.01943738,,Dartmouth
0.01959491,,Dartmouth
0.01965475,,Dartmouth
0.0199816,,Dartmouth
0.02023634,,Dartmouth
0.02058935,,Dartmouth
0.0211515,,Dartmouth
0.02187708,,Dartmouth
0.00621169,Shot_for,
0.00811238,Shot_for,
0.01180231,Shot_for,
0.01209132,Shot_for,
0.0121978,Shot_for,
0.01572639,Shot_for,
0.01715278,Shot_for,
0.01720579,Shot_for,
0.01899213,Shot_for,
0.01902616,Shot_for,
0.0190375,Shot_for,
0.01963785,Shot_for,
0.0214066,Shot_for,
0.00090116,Shot_against,
0.00094549,Shot_against,
0.00207975,Shot_against,
0.00345613,Shot_against,
0.00397859,Shot_against,
0.00583102,Shot_against,
0.00933576,Shot_against,
0.00968171,Shot_against,
0.00969144,Shot_against,
0.01051887,Shot_against,
0.01125926,Shot_against,
0.01394479,Shot_against,
0.01412928,Shot_against,
0.01917407,Shot_against,
0.01923403,Shot_against,
0.000858912,Giveaway,
0.003697338,Giveaway,
0.004515625,Giveaway,
0.005029861,Giveaway,
0.00539537,Giveaway,
0.005640278,Giveaway,
0.00586088,Giveaway,
0.008752083,Giveaway,
0.009300694,Giveaway,
0.01024919,Giveaway,
0.010317708,Giveaway,
0.010478935,Giveaway,
0.010754051,Giveaway,
0.010949884,Giveaway,
0.011337384,Giveaway,
0.019297454,Giveaway,
0.000897222,Takeaway,
0.004448611,Takeaway,
0.004481944,Takeaway,
0.005457176,Takeaway,
0.005675926,Takeaway,
0.006159606,Takeaway,
0.006852894,Takeaway,
0.008509838,Takeaway,
0.011392014,Takeaway,
0.011507755,Takeaway,
0.011646296,Takeaway,
0.011762384,Takeaway,
0.011843866,Takeaway,
0.011893056,Takeaway,
0.011971065,Takeaway,
0.013265394,Takeaway,
0.014375579,Takeaway,
0.016379514,Takeaway,
0.019584954,Takeaway,
0.020094097,Takeaway,
0.001159491,Breakout,
0.002155093,Breakout,
0.002367708,Breakout,
0.002596759,Breakout,
0.003290278,Breakout,
0.003519097,Breakout,
0.003809722,Breakout,
0.004319329,Breakout,
0.004631134,Breakout,
0.004890394,Breakout,
0.005015625,Breakout,
0.005162963,Breakout,
0.005371412,Breakout,
0.005469676,Breakout,
0.00596713,Breakout,
0.00803912,Breakout,
0.008997801,Breakout,
0.00936794,Breakout,
0.010127662,Breakout,
0.010626736,Breakout,
0.010903009,Breakout,
0.011290509,Breakout,
0.013358102,Breakout,
0.014149306,Breakout,
0.014240625,Breakout,
0.015224653,Breakout,
0.016633912,Breakout,
0.016864583,Breakout,
0.017351157,Breakout,
0.017605556,Breakout,
0.019252546,Breakout,
0.019808449,Breakout,
0.020138889,Breakout,
0.021053819,Breakout,
0.021331829,Breakout,
0.021972222,Breakout,
0.00087419,Defensive_zone,
0.001863426,Defensive_zone,
0.002548148,Defensive_zone,
0.003268056,Defensive_zone,
0.003432292,Defensive_zone,
0.00349919,Defensive_zone,
0.003742014,Defensive_zone,
0.003952315,Defensive_zone,
0.004691551,Defensive_zone,
0.005455208,Defensive_zone,
0.00559213,Defensive_zone,
0.009307176,Defensive_zone,
0.009647569,Defensive_zone,
0.010109259,Defensive_zone,
0.010492014,Defensive_zone,
0.011221875,Defensive_zone,
0.013906019,Defensive_zone,
0.015131134,Defensive_zone,
0.019134722,Defensive_zone,
0.020086343,Defensive_zone,
0.001182755,Entry,
0.003833681,Entry,
0.004365972,Entry,
0.00518044,Entry,
0.005418519,Entry,
0.005995602,Entry,
0.00672581,Entry,
0.008067824,Entry,
0.008823611,Entry,
0.009018634,Entry,
0.010260995,Entry,
0.010720139,Entry,
0.010928704,Entry,
0.011113079,Entry,
0.011323958,Entry,
0.011461806,Entry,
0.011669329,Entry,
0.011913542,Entry,
0.013779861,Entry,
0.01427338,Entry,
0.014425579,Entry,
0.01486713,Entry,
0.016310069,Entry,
0.016739931,Entry,
0.01694838,Entry,
0.017408333,Entry,
0.017639468,Entry,
0.018535185,Entry,
0.019346065,Entry,
0.019526852,Entry,
0.019913773,Entry,
0.020190162,Entry,
0.021079861,Entry,
0.021365741,Entry,
0.000803819,Faceoff,
0.001833681,Faceoff,
0.002973495,Faceoff,
0.004274074,Faceoff,
0.006669444,Faceoff,
0.007858449,Faceoff,
0.008478125,Faceoff,
0.009250463,Faceoff,
0.010073495,Faceoff,
0.013193981,Faceoff,
0.013659144,Faceoff,
0.014783218,Faceoff,
0.01565162,Faceoff,
0.016214583,Faceoff,
0.018464005,Faceoff,
0.018938194,Faceoff,
0.020524074,Faceoff,
0.020960069,Faceoff,
0.021692593,Faceoff,
0.001175463,Forecheck,
0.002194097,Forecheck,
0.00238912,Forecheck,
0.002621991,Forecheck,
0.003047569,Forecheck,
0.003345023,Forecheck,
0.003831713,Forecheck,
0.00435787,Forecheck,
0.005224306,Forecheck,
0.006718519,Forecheck,
0.00946088,Forecheck,
0.011022569,Forecheck,
0.011111111,Forecheck,
0.011458912,Forecheck,
0.01191169,Forecheck,
0.013776505,Forecheck,
0.014264815,Forecheck,
0.014423611,Forecheck,
0.014863079,Forecheck,
0.016730671,Forecheck,
0.016939352,Forecheck,
0.01740081,Forecheck,
0.017620833,Forecheck,
0.018531134,Forecheck,
0.019517361,Forecheck,
0.019909954,Forecheck,
0.020177662,Forecheck,
0.021070718,Forecheck,
0.004960301,Goalie_touch,
0.006979398,Goalie_touch,
0.009714236,Goalie_touch,
0.016842014,Goalie_touch,
0.017297801,Goalie_touch,
0.018648032,Goalie_touch,
0.020627546,Goalie_touch,
0.003523148,NZ_forecheck,
0.004507986,NZ_forecheck,
0.004641435,NZ_forecheck,
0.004911458,NZ_forecheck,
0.005049884,NZ_forecheck,
0.005488426,NZ_forecheck,
0.006935648,NZ_forecheck,
0.007871644,NZ_forecheck,
0.009460301,NZ_forecheck,
0.009622569,NZ_forecheck,
0.010278704,NZ_forecheck,
0.010336806,NZ_forecheck,
0.010638657,NZ_forecheck,
0.013291551,NZ_forecheck,
0.013369792,NZ_forecheck,
0.014158218,NZ_forecheck,
0.015237153,NZ_forecheck,
0.020556134,NZ_forecheck,
0.000835764,NZ_offense,
0.004491551,NZ_offense,
0.006681481,NZ_offense,
0.006857639,NZ_offense,
0.008559028,NZ_offense,
0.008916204,NZ_offense,
0.00954294,NZ_offense,
0.010154051,NZ_offense,
0.010289815,NZ_offense,
0.010698843,NZ_offense,
0.011070949,NZ_offense,
0.011384259,NZ_offense,
0.011667361,NZ_offense,
0.013684722,NZ_offense,
0.014379051,NZ_offense,
0.014832755,NZ_offense,
0.014978241,NZ_offense,
0.016222106,NZ_offense,
0.018474653,NZ_offense,
0.019286111,NZ_offense,
0.019483912,NZ_offense,
0.019865509,NZ_offense,
0.006025231,Offensive_zone,
0.010939236,Offensive_zone,
0.011528704,Offensive_zone,
0.011678588,Offensive_zone,
0.011980903,Offensive_zone,
0.015666088,Offensive_zone,
0.016345139,Offensive_zone,
0.017006481,Offensive_zone,
0.018960417,Offensive_zone,
0.019364931,Offensive_zone,
0.019578125,Offensive_zone,
0.021370718,Offensive_zone,
0.021705208,Offensive_zone,
0.001308681,Opponent_breakout,
0.003906713,Opponent_breakout,
0.004461574,Opponent_breakout,
0.005247801,Opponent_breakout,
0.006823495,Opponent_breakout,
0.010768056,Opponent_breakout,
0.011056944,Opponent_breakout,
0.011172106,Opponent_breakout,
0.011602546,Opponent_breakout,
0.011881713,Opponent_breakout,
0.013243056,Opponent_breakout,
0.013866782,Opponent_breakout,
0.014346991,Opponent_breakout,
0.014480787,Opponent_breakout,
0.014808565,Opponent_breakout,
0.014957176,Opponent_breakout,
0.016464005,Opponent_breakout,
0.016808565,Opponent_breakout,
0.017251273,Opponent_breakout,
0.017480093,Opponent_breakout,
0.018606134,Opponent_breakout,
0.019089583,Opponent_breakout,
0.019459954,Opponent_breakout,
0.019654745,Opponent_breakout,
0.019993287,Opponent_breakout,
0.020261227,Opponent_breakout,
0.021157639,Opponent_breakout,
0.021935532,Opponent_breakout,
0.000869792,Opponent_entry,
0.002294792,Opponent_entry,
0.002483796,Opponent_entry,
0.002690625,Opponent_entry,
0.003160764,Opponent_entry,
0.003416319,Opponent_entry,
0.003636921,Opponent_entry,
0.003947801,Opponent_entry,
0.004494907,Opponent_entry,
0.004563889,Opponent_entry,
0.004679745,Opponent_entry,
0.004944444,Opponent_entry,
0.005094097,Opponent_entry,
0.005294329,Opponent_entry,
0.005429282,Opponent_entry,
0.005579745,Opponent_entry,
0.006957176,Opponent_entry,
0.007920139,Opponent_entry,
0.009530093,Opponent_entry,
0.009641319,Opponent_entry,
0.01040625,Opponent_entry,
0.010689005,Opponent_entry,
0.010791204,Opponent_entry,
0.011209606,Opponent_entry,
0.013314699,Opponent_entry,
0.013393519,Opponent_entry,
0.013889236,Opponent_entry,
0.014180903,Opponent_entry,
0.014357755,Opponent_entry,
0.01507037,Opponent_entry,
0.016498032,Opponent_entry,
0.017501968,Opponent_entry,
0.018623264,Opponent_entry,
0.019122454,Opponent_entry,
0.019679051,Opponent_entry,
0.020024769,Opponent_entry,
0.020302662,Opponent_entry,
0.020616898,Opponent_entry,
0.021197222,Opponent_entry,
0.021945718,Opponent_entry,
0.002293519,Opponent_forecheck,
0.002482292,Opponent_forecheck,
0.00315162,Opponent_forecheck,
0.003635185,Opponent_forecheck,
0.004562847,Opponent_forecheck,
0.004942593,Opponent_forecheck,
0.00509294,Opponent_forecheck,
0.005279861,Opponent_forecheck,
0.006951273,Opponent_forecheck,
0.00790787,Opponent_forecheck,
0.008940046,Opponent_forecheck,
0.009527662,Opponent_forecheck,
0.01041169,Opponent_forecheck,
0.010789931,Opponent_forecheck,
0.014216551,Opponent_forecheck,
0.015051389,Opponent_forecheck,
0.016495602,Opponent_forecheck,
0.017500116,Opponent_forecheck,
0.019677315,Opponent_forecheck,
0.020023495,Opponent_forecheck,
0.020614005,Opponent_forecheck,
0.021195255,Opponent_forecheck,
0.021945833,Opponent_forecheck,
0.001309144,Penalty,
0.015208333,Penalty,
0.001822338,Penalty_kill,
0.015640046,Power_play,
0.002144329,Zone_clear,
0.002309606,Zone_clear,
0.002321528,Zone_clear,
0.002355787,Zone_clear,
0.002582523,Zone_clear,
0.003218403,Zone_clear,
0.003279398,Zone_clear,
