Time,Event,Poss
0.00157431,,RPI
0.00165637,,RPI
0.001961,,RPI
0.00203715,,RPI
0.00216817,,RPI
0.00228565,,RPI
0.00237836,,RPI
0.00259583,,RPI
0.00306632,,RPI
0.00321979,,RPI
0.00336181,,RPI
0.00345035,,RPI
0.0035463,,RPI
0.00396956,,RPI
0.00404514,,RPI
0.00415903,,RPI
0.00483762,,RPI
0.00543032,,RPI
0.00602361,,RPI
0.00621505,,RPI
0.00628692,,RPI
0.00634549,,RPI
0.00665567,,RPI
0.00675035,,RPI
0.0069816,,RPI
0.00750428,,RPI
0.00870914,,RPI
0.00922431,,RPI
0.00965324,,RPI
0.00978194,,RPI
0.0100272,,RPI
0.0100816,,RPI
0.01019965,,RPI
0.01039595,,RPI
0.01071817,,RPI
0.0108912,,RPI
0.01099618,,RPI
0.01117986,,RPI
0.0112515,,RPI
0.01135613,,RPI
0.01150984,,RPI
0.01171736,,RPI
0.01322176,,RPI
0.01410093,,RPI
0.01440903,,RPI
0.01457118,,RPI
0.01459884,,RPI
0.01513171,,RPI
0.01548796,,RPI
0.0159059,,RPI
0.01654502,,RPI
0.01672708,,RPI
0.01718657,,RPI
0.01743426,,RPI
0.0175831,,RPI
0.01872604,,RPI
0.01882477,,RPI
0.0189588,,RPI
0.01903206,,RPI
0.01957697,,RPI
0.01985451,,RPI
0.02015521,,RPI
0.02030313,,RPI
0.02085648,,RPI
0.02135729,,RPI
0.02138866,,RPI
0.02229144,,RPI
0.02235532,,RPI
0.02290799,,RPI
0.02310648,,RPI
0.02338426,,RPI
0.00099606,,Harvard
0.00154132,,Harvard
0.001614,,Harvard
0.00186817,,Harvard
0.00200613,,Harvard
0.00206609,,Harvard
0.00221273,,Harvard
0.00229595,,Harvard
0.00245648,,Harvard
0.00317697,,Harvard
0.00332396,,Harvard
0.00349861,,Harvard
0.00403935,,Harvard
0.00413333,,Harvard
0.00476134,,Harvard
0.00551042,,Harvard
0.0059375,,Harvard
0.00608785,,Harvard
0.00626331,,Harvard
0.00633171,,Harvard
0.00640556,,Harvard
0.00667998,,Harvard
0.0068059,,Harvard
0.00714525,,Harvard
0.00862697,,Harvard
0.00935567,,Harvard
0.00972396,,Harvard
0.00987188,,Harvard
0.01006991,,Harvard
0.01009479,,Harvard
0.01024421,,Harvard
0.01041597,,Harvard
0.0108375,,Harvard
0.0109485,,Harvard
0.01115718,,Harvard
0.01122731,,Harvard
0.01126389,,Harvard
0.01141678,,Harvard
0.01157824,,Harvard
0.01175833,,Harvard
0.01304861,,Harvard
0.01323287,,Harvard
0.01418183,,Harvard
0.01447859,,Harvard
0.01458484,,Harvard
0.0146522,,Harvard
0.01528021,,Harvard
0.01597697,,Harvard
0.01652025,,Harvard
0.01659988,,Harvard
0.0168316,,Harvard
0.01720995,,Harvard
0.01747731,,Harvard
0.01868021,,Harvard
0.01876065,,Harvard
0.01892743,,Harvard
0.01900556,,Harvard
0.01950625,,Harvard
0.02022257,,Harvard
0.02042847,,Harvard
0.02083507,,Harvard
0.02097523,,Harvard
0.02137164,,Harvard
0.02175174,,Harvard
0.02216563,,Harvard
0.02233889,,Harvard
0.02281458,,Harvard
0.02303623,,Harvard
0.02318681,,Harvard
0.02347766,,Harvard
0.00314618,Shot_for,
0.00364479,Shot_for,
0.00402789,Shot_for,
0.00415394,Shot_for,
0.00428819,Shot_for,
0.00430301,Shot_for,
0.00430532,Shot_for,
0.00639792,Shot_for,
0.00767315,Shot_for,
0.00773854,Shot_for,
0.00883657,Shot_for,
0.01763912,Shot_for,
0.01959213,Shot_for,
0.01988056,Shot_for,
0.02144676,Shot_for,
0.02242535,Shot_for,
0.00114329,Shot_against,
0.00197188,Shot_against,
0.00697303,Shot_against,
0.00698681,Shot_against,
0.00699942,Shot_against,
0.00718403,Shot_against,
0.01322593,Shot_against,
0.01344537,Shot_against,
0.01346458,Shot_against,
0.01399907,Shot_against,
0.01410336,Shot_against,
0.01475174,Shot_against,
0.01548356,Shot_against,
0.01618924,Shot_against,
0.01718056,Shot_against,
0.01737141,Shot_against,
0.0175103,Shot_against,
0.02052512,Shot_against,
0.02085185,Shot_against,
0.02097789,Shot_against,
0.0219184,Shot_against,
0.02285498,Shot_against,
0.0232691,Shot_against,
0.02336678,Shot_against,
0.001736458,Giveaway,
0.002078241,Giveaway,
0.003337963,Giveaway,
0.003498958,Giveaway,
0.006265741,Giveaway,
0.010071991,Giveaway,
0.010937963,Giveaway,
0.011442014,Giveaway,
0.014549653,Giveaway,
0.018891667,Giveaway,
0.023003009,Giveaway,
0.023164815,Giveaway,
0.001667245,Takeaway,
0.003171528,Takeaway,
0.003523958,Takeaway,
0.006031134,Takeaway,
0.006336806,Takeaway,
0.009762269,Takeaway,
0.010015856,Takeaway,
0.010558449,Takeaway,
0.010860648,Takeaway,
0.011170139,Takeaway,
0.011240741,Takeaway,
0.011277662,Takeaway,
0.011728241,Takeaway,
0.014589468,Takeaway,
0.018707292,Takeaway,
0.018951273,Takeaway,
0.01955544,Takeaway,
0.020289931,Takeaway,
0.020428356,Takeaway,
0.021337847,Takeaway,
0.001796065,Breakout,
0.002039931,Breakout,
0.002400694,Breakout,
0.00266713,Breakout,
0.003290278,Breakout,
0.00492419,Breakout,
0.005444792,Breakout,
0.006314699,Breakout,
0.006666898,Breakout,
0.006772222,Breakout,
0.007538542,Breakout,
0.008768287,Breakout,
0.010028819,Breakout,
0.010212269,Breakout,
0.010406713,Breakout,
0.010745023,Breakout,
0.011371528,Breakout,
0.01156875,Breakout,
0.014148032,Breakout,
0.014448843,Breakout,
0.015179514,Breakout,
0.015944213,Breakout,
0.016575463,Breakout,
0.017583565,Breakout,
0.021152662,Breakout,
0.021354167,Breakout,
0.022352083,Breakout,
0.022899421,Breakout,
0.023139236,Breakout,
0.023394907,Breakout,
0.001125926,Defensive_zone,
0.001539468,Defensive_zone,
0.001925926,Defensive_zone,
0.002304514,Defensive_zone,
0.006284838,Defensive_zone,
0.006481829,Defensive_zone,
0.006846065,Defensive_zone,
0.009933218,Defensive_zone,
0.010116898,Defensive_zone,
0.011754167,Defensive_zone,
0.013026389,Defensive_zone,
0.013890509,Defensive_zone,
0.014426505,Defensive_zone,
0.014724653,Defensive_zone,
0.015153241,Defensive_zone,
0.015350463,Defensive_zone,
0.015383681,Defensive_zone,
0.016117245,Defensive_zone,
0.016518287,Defensive_zone,
0.016737037,Defensive_zone,
0.016960648,Defensive_zone,
0.017553241,Defensive_zone,
0.020488773,Defensive_zone,
