Time,Event,Poss
0.00079051,,RPI
0.00093021,,RPI
0.00159769,,RPI
0.00208796,,RPI
0.00220243,,RPI
0.00275764,,RPI
0.00296736,,RPI
0.00310382,,RPI
0.00317708,,RPI
0.003361,,RPI
0.00442442,,RPI
0.00460995,,RPI
0.00479572,,RPI
0.00489688,,RPI
0.00504641,,RPI
0.00509456,,RPI
0.00529132,,RPI
0.00665949,,RPI
0.00788368,,RPI
0.00792975,,RPI
0.00804896,,RPI
0.00818715,,RPI
0.00835891,,RPI
0.0088213,,RPI
0.00901725,,RPI
0.00933264,,RPI
0.00951944,,RPI
0.00971551,,RPI
0.01027986,,RPI
0.01098472,,RPI
0.01126412,,RPI
0.01151539,,RPI
0.01168958,,RPI
0.01181123,,RPI
0.0130206,,RPI
0.01354398,,RPI
0.0136015,,RPI
0.01385637,,RPI
0.01413704,,RPI
0.01424109,,RPI
0.01453947,,RPI
0.01469259,,RPI
0.01543102,,RPI
0.01560313,,RPI
0.01569919,,RPI
0.01578981,,RPI
0.01651528,,RPI
0.01775498,,RPI
0.01806111,,RPI
0.01825278,,RPI
0.01842986,,RPI
0.01894063,,RPI
0.02040891,,RPI
0.02047488,,RPI
0.02074653,,RPI
0.02109236,,RPI
0.02136944,,RPI
0.02158484,,RPI
0.02218067,,RPI
0.02243102,,RPI
0.02250093,,RPI
0.02458542,,RPI
0.02499329,,RPI
0.02507384,,RPI
0.02583241,,RPI
0.0259169,,RPI
0.02665799,,RPI
0.02694826,,RPI
0.00061424,,Qpac
0.00091493,,Qpac
0.00130752,,Qpac
0.00185301,,Qpac
0.00210775,,Qpac
0.00257072,,Qpac
0.002814,,Qpac
0.00302303,,Qpac
0.00312431,,Qpac
0.00323102,,Qpac
0.00343125,,Qpac
0.00421748,,Qpac
0.00448438,,Qpac
0.00464549,,Qpac
0.00481713,,Qpac
0.00497813,,Qpac
0.00508044,,Qpac
0.00523426,,Qpac
0.00588218,,Qpac
0.00627824,,Qpac
0.00786042,,Qpac
0.00791782,,Qpac
0.00796435,,Qpac
0.00817188,,Qpac
0.00823183,,Qpac
0.00879965,,Qpac
0.00889109,,Qpac
0.00919352,,Qpac
0.0093537,,Qpac
0.00952766,,Qpac
0.00973542,,Qpac
0.01022535,,Qpac
0.01053356,,Qpac
0.01105718,,Qpac
0.01129537,,Qpac
0.01156736,,Qpac
0.01170313,,Qpac
0.01295613,,Qpac
0.01345058,,Qpac
0.01356574,,Qpac
0.0137375,,Qpac
0.01400625,,Qpac
0.01423692,,Qpac
0.01439132,,Qpac
0.01455266,,Qpac
0.01470313,,Qpac
0.01546493,,Qpac
0.01565012,,Qpac
0.0157412,,Qpac
0.01588322,,Qpac
0.01635995,,Qpac
0.01662477,,Qpac
0.01781748,,Qpac
0.01810567,,Qpac
0.01827847,,Qpac
0.01887697,,Qpac
0.01907813,,Qpac
0.02044398,,Qpac
0.02051285,,Qpac
0.02096424,,Qpac
0.02134375,,Qpac
0.0214235,,Qpac
0.021689,,Qpac
0.02230822,,Qpac
0.02246447,,Qpac
0.02259734,,Qpac
0.02465347,,Qpac
0.02504838,,Qpac
0.02508669,,Qpac
0.02576574,,Qpac
0.02585845,,Qpac
0.02660023,,Qpac
0.02698414,,Qpac
0.00311377,,
0.00537882,,
0.00672083,,
0.01182326,,
0.0118831,,
0.01303796,,
0.01422361,,
0.00077049,Shot_against,
0.00092963,Shot_against,
0.00132361,Shot_against,
0.00150162,Shot_against,
0.00159051,Shot_against,
0.00203183,Shot_against,
0.00206794,Shot_against,
0.00257465,Shot_against,
0.00261933,Shot_against,
0.00267188,Shot_against,
0.00342049,Shot_against,
0.00364977,Shot_against,
0.00438171,Shot_against,
0.0049022,Shot_against,
0.00504051,Shot_against,
0.00656759,Shot_against,
0.00817813,Shot_against,
0.0094081,Shot_against,
0.00942778,Shot_against,
0.00947535,Shot_against,
0.00950938,Shot_against,
0.00971447,Shot_against,
0.01027222,Shot_against,
0.01058542,Shot_against,
0.01094294,Shot_against,
0.01172836,Shot_against,
0.01452118,Shot_against,
0.01468356,Shot_against,
0.01475579,Shot_against,
0.01550185,Shot_against,
0.01553877,Shot_against,
0.01643194,Shot_against,
0.01823692,Shot_against,
0.0183412,Shot_against,
0.01887465,Shot_against,
0.01892083,Shot_against,
0.02101725,Shot_against,
0.02176782,Shot_against,
0.02245926,Shot_against,
0.02505602,Shot_against,
0.02508519,Shot_against,
0.026614,Shot_against,
0.02662836,Shot_against,
0.001706366,Giveaway,
0.004647454,Giveaway,
0.004873611,Giveaway,
0.008137731,Giveaway,
0.008253472,Giveaway,
0.009030324,Giveaway,
0.011233218,Giveaway,
0.01648287,Giveaway,
0.02073206,Giveaway,
0.021158218,Giveaway,
0.021310069,Giveaway,
0.025823727,Giveaway,
0.005280787,Takeaway,
0.007874769,Takeaway,
0.012991551,Takeaway,
0.019066551,Takeaway,
0.001823611,Breakout,
0.002096065,Breakout,
0.002225116,Breakout,
0.002733681,Breakout,
0.002962963,Breakout,
0.004053819,Breakout,
0.004413542,Breakout,
0.00508669,Breakout,
0.006602199,Breakout,
0.00817581,Breakout,
0.008825347,Breakout,
0.009091782,Breakout,
0.010996412,Breakout,
0.011227083,Breakout,
0.011504977,Breakout,
0.011771412,Breakout,
0.01353044,Breakout,
0.013629167,Breakout,
0.013869329,Breakout,
0.014144792,Breakout,
0.015421296,Breakout,
0.01557338,Breakout,
0.015698843,Breakout,
0.015815278,Breakout,
