OPPOA,OPPOB,duration
0.00106481,0.00115162,0.00009037
0.00140509,0.00149306,0.00008497
0.00152199,0.00162153,0.00009693
0.00177546,0.00185301,0.00007414
0.00193634,0.00195833,0.00002086
0.00202083,0.00214236,0.00011759
0.00298958,0.0034213,0.00043407
0.00347338,0.00351273,0.00004306
0.00364583,0.00378588,0.00014096
0.00388426,0.00389236,0.00000598
0.00393634,0.00419097,0.00025527
0.00422685,0.00428356,0.00005503
0.00438889,0.00460764,0.00021801
0.00465741,0.0046794,0.00002104
0.00473958,0.00482755,0.00008515
0.00490278,0.00520949,0.00030394
0.00562731,0.00565162,0.00002606
0.00579051,0.00597801,0.00018924
0.00630093,0.00648495,0.00018324
0.00653356,0.00655556,0.00002028
0.00704398,0.00740972,0.00036302
0.00841898,0.0085,0.00008110
0.0085544,0.00855903,0.00000696
0.00861227,0.00881134,0.00019966
0.00920833,0.00942361,0.00021356
0.0094456,0.00951968,0.00007705
0.00958565,0.00976968,0.00018248
0.01016898,0.01021181,0.00004074
0.01029167,0.01036227,0.00007183
0.01052199,0.01055671,0.00003418
0.01061921,0.01083681,0.00021530
0.01087153,0.01096412,0.00009230
0.01102431,0.01104398,0.00001854
0.01148611,0.01153125,0.00004557
0.01158102,0.01166782,0.00008457
0.0116956,0.01179514,0.00009597
0.01181134,0.01213426,0.00032131
0.01228704,0.01237731,0.00008844
0.01266667,0.01279167,0.00012435
0.0128287,0.0129213,0.00009153
0.0129294,0.01295255,0.00002375
0.0129919,0.01313079,0.00013903
0.01457755,0.01470023,0.00011933
0.01507292,0.01511921,0.00004596
0.01518519,0.01558102,0.00039662
0.01565394,0.01568634,0.00003186
0.01575926,0.01579167,0.00003051
0.01581713,0.01610069,0.00028095
0.01613657,0.01622801,0.00009095
0.01631366,0.01668981,0.00037287
0.01678472,0.01688889,0.00010485
0.01699653,0.01707407,0.00007512
0.01818287,0.01821759,0.00003495
0.01833912,0.0183912,0.00004866
0.01901852,0.01902778,0.00000869
0.01914468,0.01924884,0.00010292
0.01939236,0.01945602,0.00006064
0.01958912,0.01962963,0.00003689
0.0198669,0.01999306,0.00012590
0.02018981,0.02021412,0.00002491
0.02040741,0.02048032,0.00007454
0.021,0.02104398,0.00004345
0.02175116,0.02186806,0.00011895
0.02247917,0.02251736,0.00004036
0.02293056,0.02295718,0.00002935
0.02309375,0.02312963,0.00003765
0.02335995,0.02337384,0.00001603
0.02370486,0.02376273,0.00005889
