Time,Event,Poss,EventPoss
0.00106481,,2,
0.00140509,,2,
0.00152199,,2,
0.00177546,,2,
0.00193634,,2,
0.00202083,,2,
0.00298958,,2,
0.00347338,,2,
0.00364583,,2,
0.00388426,,2,
0.00393634,,2,
0.00422685,,2,
0.00438889,,2,
0.00465741,,2,
0.00473958,,2,
0.00490278,,2,
0.00562731,,2,
0.00579051,,2,
0.00630093,,2,
0.00653356,,2,
0.00704398,,2,
0.00841898,,2,
0.0085544,,2,
0.00861227,,2,
0.00920833,,2,
0.0094456,,2,
0.00958565,,2,
0.01016898,,2,
0.01029167,,2,
0.01052199,,2,
0.01061921,,2,
0.01087153,,2,
0.01102431,,2,
0.01148611,,2,
0.01158102,,2,
0.0116956,,2,
0.01181134,,2,
0.01228704,,2,
0.01266667,,2,
0.0128287,,2,
0.0129294,,2,
0.0129919,,2,
0.01457755,,2,
0.01507292,,2,
0.01518519,,2,
0.01565394,,2,
0.01575926,,2,
0.01581713,,2,
0.01613657,,2,
0.01631366,,2,
0.01678472,,2,
0.01699653,,2,
0.01818287,,2,
0.01833912,,2,
0.01901852,,2,
0.01914468,,2,
0.01939236,,2,
0.01958912,,2,
0.0198669,,2,
0.02018981,,2,
0.02040741,,2,
0.021,,2,
0.02175116,,2,
0.02247917,,2,
0.02293056,,2,
0.02309375,,2,
0.02335995,,2,
0.02370486,,2,
