RPIA,RPIB,duration
0.00055498,0.00060197,0.00004750
0.00068727,0.00073391,0.00004672
0.00098866,0.00103264,0.00004248
0.00105648,0.00107604,0.00001699
0.00120648,0.00125521,0.00005039
0.00184132,0.00186748,0.00002800
0.00201713,0.00217697,0.00015833
0.00225718,0.00239688,0.00014038
0.00297859,0.00342685,0.00044605
0.00347199,0.00396273,0.00049394
0.00435185,0.00449363,0.00014366
0.00457315,0.00485046,0.00027709
0.00493056,0.00500324,0.00007472
0.00623252,0.00628507,0.00004885
0.0063331,0.00703738,0.00070325
0.0083794,0.00851979,0.00014134
0.00859005,0.00876528,0.00017630
0.00889965,0.00897188,0.00007414
0.00946921,0.00950174,0.00003109
0.0099787,0.01011701,0.00013807
0.0101963,0.0102456,0.00005137
0.01031308,0.01032928,0.00001931
0.01040637,0.01043264,0.00002838
0.01047431,0.01052072,0.00004654
0.01058345,0.01080185,0.00021742
0.01238611,0.01249236,0.00010756
0.01255938,0.0127022,0.00014541
0.01355336,0.01370637,0.00015466
0.0138331,0.01395255,0.00012204
0.01399699,0.01402014,0.00002297
0.0141125,0.01430648,0.00019213
0.01440938,0.01444479,0.00003591
0.01633333,0.01636574,0.00003089
0.01754016,0.01757477,0.00003456
0.01764375,0.01773403,0.00008863
0.01824016,0.01827465,0.00003418
0.01838148,0.01845012,0.00006797
0.0185228,0.01854063,0.00001429
0.01859907,0.0186265,0.00003031
0.01891424,0.01903843,0.00012204
0.01923669,0.01932905,0.00009230
0.01948438,0.01950556,0.00001988
0.01962222,0.01984016,0.00021666
0.02008229,0.02023345,0.00015157
0.02128692,0.02164688,0.00036069
0.02186644,0.02197882,0.00011007
0.02206076,0.02208773,0.00002955
0.02215231,0.02245289,0.00030045
0.02251713,0.02282789,0.00030972
0.02296262,0.02299005,0.00003031
0.02311366,0.02313993,0.00002838
0.02325498,0.02334514,0.00008844
0.02341713,0.02355752,0.00014134
0.02362407,0.02369583,0.00007318
0.02439734,0.02443819,0.00004480
0.02471458,0.02473935,0.00002588
0.02537025,0.02542859,0.00005851
0.02587014,0.02590532,0.00003553
0.02595081,0.02600613,0.00005348
