OPPOA,OPPOB,,,,,,,
0.00061424,0.00078912,,,,,,,
0.00091493,0.00092894,,,,,,,
0.00130752,0.00159688,,,,,,,
0.00185301,0.00208681,,,,,,,
0.00210775,0.00220104,,,,,,,
0.00257072,0.00275683,,,,,,,
0.00281400,0.00296597,,,,,,,
0.00302303,0.00310255,,,,,,,
0.00312431,0.00317569,,,,,,,
0.00323102,0.00335961,,,,,,,
0.00343125,0.00369248,,,,,,,
0.00421748,0.00442292,,,,,,,
0.00448438,0.00460868,,,,,,,
0.00464549,0.00479421,,,,,,,
0.00481713,0.00489514,,,,,,,
0.00497813,0.00503993,,,,,,,
0.00508044,0.00509329,,,,,,,
0.00523426,0.00528993,,,,,,,
0.00588218,0.00603183,,,,,,,
0.00627824,0.00665822,,,,,,,
0.00786042,0.00788206,,,,,,,
0.00791782,0.00792847,,,,,,,
0.00796435,0.00804792,,,,,,,
0.00817188,0.00818588,,,,,,,
0.00823183,0.00835729,,,,,,,
0.00879965,0.00882002,,,,,,,
0.00889109,0.00901609,,,,,,,
0.00919352,0.00933113,,,,,,,
0.00935370,0.00951794,,,,,,,
0.00952766,0.00971400,,,,,,,
0.00973542,0.00974988,,,,,,,
0.01022535,0.01027870,,,,,,,
0.01053356,0.01098600,,,,,,,
0.01105718,0.01126076,,,,,,,
0.01129537,0.01150949,,,,,,,
0.01156736,0.01169086,,,,,,,
0.01170313,0.01181701,,,,,,,
0.01295613,0.01301458,,,,,,,
0.01345058,0.01354248,,,,,,,
0.01356574,0.01359977,,,,,,,
0.01373750,0.01385475,,,,,,,
0.01400625,0.01413565,,,,,,,
0.01423692,0.01423981,,,,,,,
0.01439132,0.01453762,,,,,,,
0.01455266,0.01469016,,,,,,,
0.01470313,0.01476968,,,,,,,
0.01546493,0.01560174,,,,,,,
0.01565012,0.01569780,,,,,,,
0.01574120,0.01578819,,,,,,,
0.01588322,0.01595069,,,,,,,
0.01635995,0.01650903,,,,,,,
0.01662477,0.01673704,,,,,,,
0.01781748,0.01805995,,,,,,,
0.01810567,0.01824653,,,,,,,
0.01827847,0.01842824,,,,,,,
0.01887697,0.01893935,,,,,,,
0.01907813,0.01917731,,,,,,,
0.02044398,0.02046875,,,,,,,
0.02051285,0.02074479,,,,,,,
0.02096424,0.02109051,,,,,,,
0.02134375,0.02136806,,,,,,,
0.02142350,0.02157847,,,,,,,
0.02168900,0.02183438,,,,,,,
0.02230822,0.02242963,,,,,,,
0.02246447,0.02249954,,,,,,,
0.02259734,0.02273623,,,,,,,
0.02465347,0.02499178,,,,,,,
0.02504838,0.02507222,,,,,,,
0.02508669,0.02529433,,,,,,,
0.02576574,0.02582604,,,,,,,
0.02585845,0.02591539,,,,,,,
0.02660023,0.02665648,,,,,,,
0.02698414,0.02708808,,,,,,,
