RPIA,RPIB,,,,,
0.00079051,0.00091389,,,,,
0.00093021,0.00095185,,,,,
0.00159769,0.00185185,,,,,
0.00208796,0.00210683,,,,,
0.00220243,0.00230590,,,,,
0.00275764,0.00281285,,,,,
0.00296736,0.00302199,,,,,
0.00310382,0.00311852,,,,,
0.00317708,0.00322940,,,,,
0.00336100,0.00342998,,,,,
0.00442442,0.00448287,,,,,
0.00460995,0.00464387,,,,,
0.00479572,0.00481528,,,,,
0.00489688,0.00497639,,,,,
0.00504641,0.00507465,,,,,
0.00509456,0.00523287,,,,,
0.00529132,0.00548831,,,,,
0.00665949,0.00684236,,,,,
0.00788368,0.00791655,,,,,
0.00792975,0.00796319,,,,,
0.00804896,0.00817049,,,,,
0.00818715,0.00823044,,,,,
0.00835891,0.00838368,,,,,
0.00882130,0.00888993,,,,,
0.00901725,0.00919225,,,,,
0.00933264,0.00935255,,,,,
0.00951944,0.00952616,,,,,
0.00971551,0.00973403,,,,,
0.01027986,0.01039861,,,,,
0.01098472,0.01105810,,,,,
0.01126412,0.01128958,,,,,
0.01151539,0.01156597,,,,,
0.01168958,0.01170451,,,,,
0.01181123,0.01196713,,,,,
0.01302060,0.01309282,,,,,
0.01354398,0.01356447,,,,,
0.01360150,0.01373900,,,,,
0.01385637,0.01400475,,,,,
0.01413704,0.01423565,,,,,
0.01424109,0.01439016,,,,,
0.01453947,0.01455104,,,,,
0.01469259,0.01470174,,,,,
0.01543102,0.01546377,,,,,
0.01560313,0.01564838,,,,,
0.01569919,0.01573981,,,,,
0.01578981,0.01587211,,,,,
0.01651528,0.01662338,,,,,
0.01775498,0.01781574,,,,,
0.01806111,0.01810451,,,,,
0.01825278,0.01827720,,,,,
0.01842986,0.01852257,,,,,
0.01894063,0.01907627,,,,,
0.02040891,0.02044271,,,,,
0.02047488,0.02051123,,,,,
0.02074653,0.02096296,,,,,
0.02109236,0.02134190,,,,,
0.02136944,0.02141713,,,,,
0.02158484,0.02168299,,,,,
0.02218067,0.02230602,,,,,
0.02243102,0.02245845,,,,,
0.02250093,0.02259560,,,,,
0.02458542,0.02464699,,,,,
0.02499329,0.02504676,,,,,
0.02507384,0.02508484,,,,,
0.02583241,0.02585718,,,,,
0.02591690,0.02602419,,,,,
0.02665799,0.02675162,,,,,
0.02694826,0.02698148,,,,,
